Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:21:23.052,43.300,13.0,44.0,42.475,40.1,
13.4.2025,22:21:23.554,43.265,13.0,44.0,43.991,41.1,
13.4.2025,22:21:24.058,44.373,13.0,43.9,42.853,41.2,
13.4.2025,22:21:24.560,43.623,13.0,43.9,42.982,41.0,
13.4.2025,22:21:25.057,44.710,14.0,43.9,43.014,41.0,
13.4.2025,22:21:25.554,44.555,13.0,43.8,42.308,40.7,
13.4.2025,22:21:26.044,43.886,18.0,43.8,42.097,40.8,
13.4.2025,22:21:26.545,44.458,13.0,43.9,41.661,40.2,
13.4.2025,22:21:27.048,44.665,12.0,44.0,42.370,40.8,
13.4.2025,22:21:27.551,43.422,13.0,43.9,42.673,40.6,
13.4.2025,22:21:28.054,44.491,11.0,43.9,42.769,40.5,
13.4.2025,22:21:28.556,44.912,13.0,43.9,42.347,40.9,
13.4.2025,22:21:29.056,43.620,11.0,43.9,42.970,40.0,
13.4.2025,22:21:29.558,44.861,13.0,43.9,43.648,41.1,
13.4.2025,22:21:30.046,44.728,14.0,43.8,42.928,40.9,
13.4.2025,22:21:30.563,43.713,13.0,43.7,42.521,41.0,
13.4.2025,22:21:31.061,43.487,13.0,43.8,42.954,40.5,
13.4.2025,22:21:31.565,44.694,13.0,43.8,42.905,40.2,
13.4.2025,22:21:32.081,44.685,12.0,43.7,42.659,40.6,
13.4.2025,22:21:32.585,43.608,14.0,43.8,42.144,40.7,
13.4.2025,22:21:33.086,43.359,12.0,43.9,43.310,40.6,
13.4.2025,22:21:33.581,44.280,14.0,43.9,42.836,41.0,
13.4.2025,22:21:34.085,43.914,13.0,43.8,42.275,41.7,
13.4.2025,22:21:34.585,44.212,11.0,43.7,42.327,40.5,
13.4.2025,22:21:35.088,44.668,12.0,43.9,42.453,40.9,
13.4.2025,22:21:35.587,43.957,13.0,43.9,43.417,40.8,
13.4.2025,22:21:36.085,43.929,12.0,43.9,41.805,40.2,
13.4.2025,22:21:36.588,44.277,12.0,43.9,42.584,40.7,
13.4.2025,22:21:37.077,44.079,12.0,44.0,41.987,40.5,
13.4.2025,22:21:37.578,43.864,11.0,44.0,42.663,40.8,
13.4.2025,22:21:38.077,44.680,12.0,44.0,42.652,40.4,
13.4.2025,22:21:38.576,44.216,1.0,43.9,42.409,41.3,
13.4.2025,22:21:39.090,42.975,12.0,44.0,43.680,40.7,
13.4.2025,22:21:39.574,42.907,13.0,43.9,42.902,40.9,
13.4.2025,22:21:40.074,43.481,12.0,43.8,42.570,40.5,
13.4.2025,22:21:40.576,43.335,13.0,43.8,42.216,40.9,
13.4.2025,22:21:41.081,44.821,11.0,43.8,42.504,40.7,
13.4.2025,22:21:41.584,44.641,8.0,43.9,42.735,40.6,
13.4.2025,22:21:42.085,45.476,12.0,43.9,42.882,40.8,
13.4.2025,22:21:42.587,43.296,13.0,44.0,42.710,40.3,
13.4.2025,22:21:43.076,44.549,12.0,44.0,43.336,40.6,
13.4.2025,22:21:43.574,44.436,13.0,44.0,43.819,40.9,
13.4.2025,22:21:44.090,44.018,12.0,44.0,42.959,41.2,
13.4.2025,22:21:44.573,43.978,12.0,43.9,43.414,40.9,
13.4.2025,22:21:45.075,44.489,13.0,44.0,43.877,40.8,
13.4.2025,22:21:45.576,44.615,13.0,43.9,42.962,41.4,
13.4.2025,22:21:46.075,43.530,13.0,43.9,43.249,40.4,
13.4.2025,22:21:46.576,44.406,13.0,43.9,42.362,40.5,
13.4.2025,22:21:47.091,44.565,13.0,43.8,42.412,40.4,
13.4.2025,22:21:47.576,42.653,13.0,43.8,42.387,40.2,
13.4.2025,22:21:48.076,44.700,12.0,43.9,42.558,41.2,
13.4.2025,22:21:48.575,44.700,12.0,43.9,43.171,40.8,
