Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,23:5:41.963,42.3,46.224,44.797,16.0,48.6,
16.4.2025,23:5:42.447,42.4,44.404,45.042,14.0,50.3,
16.4.2025,23:5:42.955,43.3,45.946,44.524,15.0,51.7,
16.4.2025,23:5:43.455,42.5,45.731,44.992,15.0,52.6,
16.4.2025,23:5:43.958,42.9,45.202,44.801,16.0,53.0,
16.4.2025,23:5:44.458,42.1,44.780,43.987,22.0,53.3,
16.4.2025,23:5:44.962,42.0,45.508,44.730,16.0,53.7,
16.4.2025,23:5:45.452,42.2,44.914,44.612,16.0,53.8,
16.4.2025,23:5:45.964,42.0,45.742,44.843,15.0,53.7,
16.4.2025,23:5:46.464,42.6,44.704,44.369,15.0,53.8,
16.4.2025,23:5:46.967,42.2,45.390,44.087,16.0,53.9,
16.4.2025,23:5:47.482,42.6,45.571,43.876,16.0,54.0,
16.4.2025,23:5:47.995,42.5,44.378,44.355,16.0,54.0,
16.4.2025,23:5:48.510,42.7,45.360,45.554,16.0,54.1,
16.4.2025,23:5:49.009,42.7,46.112,45.085,15.0,54.3,
16.4.2025,23:5:49.497,42.3,45.074,44.823,15.0,54.3,
16.4.2025,23:5:50.000,42.9,45.238,45.300,13.0,54.2,
16.4.2025,23:5:50.502,42.1,44.681,45.895,15.0,54.0,
16.4.2025,23:5:51.006,42.5,44.845,44.757,15.0,53.9,
16.4.2025,23:5:51.505,42.3,44.558,44.976,16.0,54.0,
16.4.2025,23:5:52.003,42.6,45.011,44.766,15.0,54.1,
16.4.2025,23:5:52.502,42.3,45.745,45.027,15.0,54.1,
16.4.2025,23:5:53.004,42.6,45.582,44.242,15.0,54.1,
16.4.2025,23:5:53.500,42.7,44.936,45.116,15.0,54.1,
16.4.2025,23:5:54.018,42.6,45.160,44.411,16.0,54.2,
16.4.2025,23:5:54.516,42.1,44.231,44.838,15.0,54.3,
16.4.2025,23:5:55.032,42.5,45.346,44.605,14.0,54.2,
16.4.2025,23:5:55.548,42.6,45.334,44.757,15.0,54.0,
16.4.2025,23:5:56.049,42.5,45.949,44.969,15.0,53.9,
16.4.2025,23:5:56.551,42.4,44.785,44.147,15.0,53.9,
16.4.2025,23:5:57.051,42.4,45.002,44.713,20.0,54.0,
16.4.2025,23:5:57.549,42.6,45.977,44.709,15.0,54.1,
16.4.2025,23:5:58.050,42.3,45.386,44.377,15.0,54.1,
16.4.2025,23:5:58.567,41.8,44.823,44.384,14.0,54.2,
16.4.2025,23:5:59.082,42.3,45.643,44.515,16.0,54.2,
16.4.2025,23:5:59.585,42.2,45.466,44.387,15.0,54.3,
16.4.2025,23:6:0.087,42.4,45.655,44.819,16.0,54.4,
16.4.2025,23:6:0.580,42.4,45.638,44.626,14.0,54.1,
16.4.2025,23:6:1.084,43.6,46.777,44.590,15.0,54.0,
16.4.2025,23:6:1.580,42.4,44.850,44.786,16.0,54.0,
16.4.2025,23:6:2.079,42.3,44.745,44.384,15.0,54.0,
16.4.2025,23:6:2.593,42.5,45.231,45.051,14.0,54.2,
16.4.2025,23:6:3.092,42.3,44.713,44.595,16.0,54.1,
16.4.2025,23:6:3.606,42.6,44.965,45.633,34.0,54.2,
16.4.2025,23:6:4.121,41.8,43.714,44.754,15.0,54.2,
16.4.2025,23:6:4.620,42.0,45.165,44.573,13.0,54.0,
