Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,23:3:13.999,40.5,45.005,45.097,19.0,69.3,
16.4.2025,23:3:14.506,41.0,44.765,43.808,15.0,69.5,
16.4.2025,23:3:15.004,56.4,54.691,44.830,14.0,67.2,
16.4.2025,23:3:15.504,52.7,53.943,43.651,16.0,66.3,
16.4.2025,23:3:16.003,41.1,46.099,44.523,16.0,66.4,
16.4.2025,23:3:16.503,40.2,44.324,44.957,15.0,68.8,
16.4.2025,23:3:17.003,40.1,45.607,45.203,17.0,69.5,
16.4.2025,23:3:17.502,40.2,45.832,43.520,15.0,70.0,
16.4.2025,23:3:18.002,39.8,44.418,44.769,17.0,70.2,
16.4.2025,23:3:18.501,39.6,44.516,44.932,15.0,70.1,
16.4.2025,23:3:19.000,39.5,45.069,45.221,16.0,70.0,
16.4.2025,23:3:19.500,40.1,46.514,45.534,15.0,70.2,
16.4.2025,23:3:20.004,42.6,47.251,44.141,15.0,70.1,
16.4.2025,23:3:20.504,40.3,44.455,44.936,16.0,69.6,
16.4.2025,23:3:21.005,39.9,44.763,44.834,15.0,69.9,
16.4.2025,23:3:21.506,40.2,45.507,44.376,15.0,70.0,
16.4.2025,23:3:22.002,40.7,45.147,45.378,17.0,70.3,
16.4.2025,23:3:22.501,39.6,44.109,44.578,16.0,70.1,
16.4.2025,23:3:23.004,40.7,46.547,45.262,14.0,70.3,
16.4.2025,23:3:23.507,39.8,45.320,44.437,15.0,70.5,
16.4.2025,23:3:24.005,39.9,44.326,44.626,15.0,70.1,
16.4.2025,23:3:24.503,40.6,44.494,44.702,15.0,69.5,
16.4.2025,23:3:25.005,39.9,44.744,44.510,18.0,70.1,
16.4.2025,23:3:25.503,39.8,44.839,45.449,15.0,69.8,
16.4.2025,23:3:26.003,39.9,44.816,45.204,15.0,70.1,
16.4.2025,23:3:26.500,40.1,45.269,44.978,14.0,70.2,
16.4.2025,23:3:26.999,39.5,44.290,44.463,15.0,70.0,
16.4.2025,23:3:27.503,40.3,45.007,45.139,15.0,70.2,
16.4.2025,23:3:28.005,39.8,45.718,45.156,16.0,70.3,
16.4.2025,23:3:28.504,40.2,45.697,44.497,14.0,70.3,
16.4.2025,23:3:29.002,39.8,45.496,45.196,15.0,70.5,
16.4.2025,23:3:29.502,39.9,44.310,43.956,16.0,70.2,
16.4.2025,23:3:30.001,40.2,44.974,44.930,16.0,70.2,
16.4.2025,23:3:30.499,40.2,44.417,45.048,21.0,70.3,
16.4.2025,23:3:30.998,40.0,45.249,44.171,15.0,70.2,
16.4.2025,23:3:31.498,39.8,44.323,44.202,15.0,70.2,
16.4.2025,23:3:31.996,39.7,45.887,44.272,15.0,70.3,
16.4.2025,23:3:32.511,39.6,44.735,44.524,15.0,69.9,
16.4.2025,23:3:33.007,39.7,44.829,45.375,15.0,70.1,
16.4.2025,23:3:33.509,39.7,44.505,44.417,2.0,70.2,
16.4.2025,23:3:34.008,39.6,45.626,45.117,15.0,70.1,
16.4.2025,23:3:34.508,39.7,45.415,45.044,14.0,70.1,
16.4.2025,23:3:35.010,40.0,45.618,45.055,14.0,70.2,
16.4.2025,23:3:35.508,39.8,45.128,45.055,14.0,70.2,
16.4.2025,23:3:36.008,39.9,45.071,45.119,14.0,70.4,
16.4.2025,23:3:36.509,40.1,45.340,44.832,15.0,70.2,
16.4.2025,23:3:37.006,40.0,45.383,44.407,18.0,70.4,
16.4.2025,23:3:37.507,40.0,44.770,45.165,15.0,70.5,
16.4.2025,23:3:37.996,40.3,44.650,45.251,15.0,70.2,
16.4.2025,23:3:38.508,40.1,45.422,45.586,15.0,70.2,
16.4.2025,23:3:39.005,40.1,44.618,45.642,16.0,70.2,
16.4.2025,23:3:39.504,40.2,44.500,46.406,16.0,70.1,
16.4.2025,23:3:40.003,39.6,43.929,45.039,16.0,69.8,
16.4.2025,23:3:40.502,39.7,44.826,45.148,15.0,69.8,
16.4.2025,23:3:41.002,39.5,45.734,44.675,17.0,69.8,
16.4.2025,23:3:41.502,40.0,44.394,44.222,17.0,69.9,
16.4.2025,23:3:42.001,40.2,44.873,44.949,16.0,69.9,
16.4.2025,23:3:42.504,40.0,44.292,44.572,15.0,70.0,
16.4.2025,23:3:42.999,40.0,44.292,44.470,16.0,70.1,
16.4.2025,23:3:43.499,40.0,44.103,45.874,14.0,70.2,
16.4.2025,23:3:44.000,42.6,46.841,44.870,16.0,70.0,
16.4.2025,23:3:44.500,41.1,47.057,45.079,15.0,69.7,
16.4.2025,23:3:45.004,40.4,45.718,44.453,16.0,70.1,
16.4.2025,23:3:45.504,40.0,45.091,43.842,15.0,70.3,
16.4.2025,23:3:46.001,40.0,44.707,44.457,16.0,70.2,
16.4.2025,23:3:46.502,39.8,45.364,43.666,16.0,70.0,
16.4.2025,23:3:47.002,40.1,44.808,45.030,16.0,70.0,
16.4.2025,23:3:47.504,39.9,44.397,45.444,15.0,70.1,
16.4.2025,23:3:48.004,40.0,44.255,45.305,16.0,69.9,
16.4.2025,23:3:48.506,39.8,44.286,44.268,16.0,70.0,
16.4.2025,23:3:49.007,40.5,45.637,44.985,16.0,70.0,
16.4.2025,23:3:49.509,40.4,45.486,45.231,15.0,69.9,
16.4.2025,23:3:50.008,40.3,45.797,44.416,15.0,69.2,
16.4.2025,23:3:50.502,40.0,45.261,44.143,15.0,69.6,
16.4.2025,23:3:51.007,40.4,44.882,45.245,15.0,69.7,
16.4.2025,23:3:51.520,39.6,44.433,44.911,15.0,69.8,
