Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,23:0:52.294,39.5,45.752,44.842,16.0,105.6,
16.4.2025,23:0:52.797,38.3,44.733,44.689,16.0,105.5,
16.4.2025,23:0:53.310,38.6,45.064,44.186,16.0,105.4,
16.4.2025,23:0:53.810,39.3,45.993,44.664,15.0,104.9,
16.4.2025,23:0:54.327,38.4,45.228,44.526,15.0,105.2,
16.4.2025,23:0:54.826,38.4,45.313,44.259,15.0,105.3,
16.4.2025,23:0:55.330,38.6,45.408,44.848,16.0,104.9,
16.4.2025,23:0:55.846,38.4,44.606,44.272,15.0,104.9,
16.4.2025,23:0:56.352,39.6,45.526,44.750,15.0,104.8,
16.4.2025,23:0:56.848,38.3,45.700,44.960,15.0,104.7,
16.4.2025,23:0:57.346,38.5,44.495,44.845,15.0,104.8,
16.4.2025,23:0:57.845,38.3,44.495,44.845,15.0,104.8,
16.4.2025,23:0:58.345,38.3,44.621,44.381,16.0,105.5,
16.4.2025,23:0:58.843,39.7,45.346,45.105,15.0,104.9,
16.4.2025,23:0:59.343,38.7,45.714,44.761,15.0,104.6,
16.4.2025,23:0:59.869,38.5,44.893,45.071,16.0,105.2,
16.4.2025,23:1:0.367,38.4,44.669,44.534,15.0,105.0,
16.4.2025,23:1:0.882,38.6,45.675,45.263,1.0,104.5,
16.4.2025,23:1:1.383,39.4,45.946,44.188,16.0,104.9,
16.4.2025,23:1:1.878,38.7,45.689,44.575,24.0,104.8,
16.4.2025,23:1:2.378,38.6,44.674,44.900,16.0,105.0,
16.4.2025,23:1:2.877,38.5,44.561,44.392,19.0,105.0,
16.4.2025,23:1:3.377,38.7,45.202,44.919,16.0,105.1,
16.4.2025,23:1:3.876,38.4,45.380,44.747,17.0,105.3,
16.4.2025,23:1:4.376,38.5,45.807,44.909,16.0,105.4,
16.4.2025,23:1:4.879,38.4,45.619,44.961,15.0,104.4,
16.4.2025,23:1:5.378,38.5,45.869,44.742,17.0,104.7,
16.4.2025,23:1:5.891,37.8,44.909,44.712,18.0,104.3,
16.4.2025,23:1:6.408,38.3,45.121,44.804,16.0,104.7,
16.4.2025,23:1:6.910,38.7,45.086,44.830,17.0,105.2,
