Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:2:9.688,43.969,15.0,161.0,41.768,34.5,
13.4.2025,22:2:10.185,43.799,16.0,160.6,41.768,34.5,
13.4.2025,22:2:10.684,43.714,15.0,159.5,41.760,34.3,
13.4.2025,22:2:11.187,44.137,15.0,154.7,44.661,42.2,
13.4.2025,22:2:11.686,43.744,17.0,159.6,41.795,34.3,
13.4.2025,22:2:12.199,44.130,17.0,161.5,40.941,34.5,
13.4.2025,22:2:12.697,44.159,15.0,162.4,41.400,33.9,
13.4.2025,22:2:13.199,43.466,16.0,161.1,41.879,34.5,
13.4.2025,22:2:13.697,43.581,16.0,162.9,42.188,34.8,
13.4.2025,22:2:14.197,43.972,17.0,161.1,41.538,34.8,
13.4.2025,22:2:14.699,43.449,15.0,161.3,41.409,33.8,
13.4.2025,22:2:15.203,43.630,15.0,161.8,41.819,34.4,
13.4.2025,22:2:15.699,43.968,15.0,162.3,41.622,34.3,
13.4.2025,22:2:16.200,44.012,15.0,162.5,41.425,34.6,
13.4.2025,22:2:16.700,44.229,15.0,162.9,41.762,34.4,
13.4.2025,22:2:17.201,44.175,15.0,161.2,41.543,34.4,
13.4.2025,22:2:17.701,43.736,15.0,162.2,42.108,34.4,
13.4.2025,22:2:18.202,43.893,16.0,161.3,41.024,34.3,
13.4.2025,22:2:18.715,43.665,15.0,161.8,41.544,34.2,
13.4.2025,22:2:19.230,43.771,15.0,161.3,41.124,34.3,
13.4.2025,22:2:19.743,43.550,14.0,161.9,42.032,33.9,
13.4.2025,22:2:20.244,43.545,16.0,162.8,41.706,34.3,
13.4.2025,22:2:20.731,43.906,15.0,162.7,41.023,34.1,
13.4.2025,22:2:21.232,43.506,15.0,160.1,42.191,34.1,
13.4.2025,22:2:21.732,43.813,16.0,160.1,41.338,33.8,
13.4.2025,22:2:22.231,44.157,17.0,160.3,41.518,34.2,
13.4.2025,22:2:22.730,43.499,15.0,159.9,41.348,34.0,
13.4.2025,22:2:23.246,44.305,15.0,160.4,41.334,34.2,
13.4.2025,22:2:23.743,43.168,14.0,159.9,41.011,34.2,
13.4.2025,22:2:24.247,43.822,15.0,158.5,41.391,34.5,
13.4.2025,22:2:24.760,43.594,14.0,160.1,42.243,34.2,
13.4.2025,22:2:25.257,43.841,15.0,159.8,41.654,34.2,
13.4.2025,22:2:25.757,43.727,14.0,160.0,42.058,33.8,
13.4.2025,22:2:26.257,43.797,14.0,159.1,41.297,34.2,
13.4.2025,22:2:26.759,43.423,15.0,160.4,41.288,34.7,
13.4.2025,22:2:27.257,43.881,15.0,159.5,42.545,34.5,
13.4.2025,22:2:27.758,43.897,15.0,160.8,41.203,34.1,
13.4.2025,22:2:28.257,44.008,15.0,158.8,41.748,34.1,
13.4.2025,22:2:28.757,44.003,15.0,158.6,41.053,34.1,
13.4.2025,22:2:29.258,44.451,15.0,159.2,41.235,34.5,
13.4.2025,22:2:29.756,43.920,15.0,159.4,40.795,34.4,
13.4.2025,22:2:30.255,43.843,15.0,160.3,41.939,34.3,
13.4.2025,22:2:30.757,43.965,49.0,160.5,41.437,34.4,
13.4.2025,22:2:31.253,43.743,15.0,158.6,41.292,34.5,
13.4.2025,22:2:31.755,44.356,14.0,160.2,42.012,34.1,
13.4.2025,22:2:32.256,43.667,15.0,160.4,41.748,34.3,
13.4.2025,22:2:32.753,43.698,14.0,160.7,41.879,34.2,
