Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:7:33.044,43.418,18.0,74.9,39.461,35.2,
13.4.2025,22:7:33.546,43.578,13.0,74.6,39.954,34.4,
13.4.2025,22:7:34.049,43.644,14.0,74.6,39.964,35.8,
13.4.2025,22:7:34.552,43.835,12.0,74.5,39.414,34.1,
13.4.2025,22:7:35.050,43.207,13.0,75.1,39.896,35.0,
13.4.2025,22:7:35.549,43.687,12.0,75.1,39.083,34.4,
13.4.2025,22:7:36.046,43.894,14.0,75.0,39.648,34.4,
13.4.2025,22:7:36.548,43.861,12.0,75.0,39.143,34.1,
13.4.2025,22:7:37.047,43.337,15.0,75.1,39.162,34.8,
13.4.2025,22:7:37.547,43.486,13.0,75.3,38.871,34.2,
13.4.2025,22:7:38.050,43.344,13.0,75.3,40.014,34.6,
13.4.2025,22:7:38.552,43.603,13.0,75.2,39.617,34.4,
13.4.2025,22:7:39.055,43.942,11.0,74.9,39.213,34.8,
13.4.2025,22:7:39.556,42.726,13.0,74.8,39.281,34.3,
13.4.2025,22:7:40.060,44.584,14.0,74.9,39.618,35.3,
13.4.2025,22:7:40.544,43.868,12.0,74.5,38.880,34.5,
13.4.2025,22:7:41.046,44.081,14.0,75.0,39.299,34.8,
13.4.2025,22:7:41.549,43.904,13.0,75.0,39.523,34.5,
13.4.2025,22:7:42.046,43.076,14.0,75.1,39.469,34.8,
13.4.2025,22:7:42.548,43.631,12.0,74.9,39.729,34.8,
13.4.2025,22:7:43.051,43.966,13.0,75.0,39.252,34.6,
13.4.2025,22:7:43.551,43.749,13.0,75.0,39.520,34.4,
13.4.2025,22:7:44.050,43.308,13.0,75.0,39.111,34.7,
13.4.2025,22:7:44.550,43.077,13.0,74.8,39.254,34.4,
13.4.2025,22:7:45.050,43.659,13.0,74.8,39.356,34.6,
13.4.2025,22:7:45.550,43.171,12.0,75.0,39.906,34.0,
13.4.2025,22:7:46.051,43.465,13.0,74.9,39.549,34.2,
13.4.2025,22:7:46.553,44.236,12.0,75.1,38.983,34.1,
13.4.2025,22:7:47.058,43.974,13.0,75.3,39.622,34.9,
13.4.2025,22:7:47.542,43.265,12.0,75.4,39.077,34.5,
13.4.2025,22:7:48.043,43.649,13.0,75.4,39.789,34.9,
13.4.2025,22:7:48.557,43.535,12.0,75.3,39.392,34.6,
13.4.2025,22:7:49.045,43.666,13.0,75.1,40.047,34.5,
13.4.2025,22:7:49.546,43.652,12.0,75.0,38.903,34.2,
13.4.2025,22:7:50.046,43.397,13.0,75.2,39.630,34.8,
13.4.2025,22:7:50.542,44.413,12.0,75.3,39.465,34.3,
13.4.2025,22:7:51.044,44.231,13.0,75.4,39.374,34.4,
13.4.2025,22:7:51.547,44.560,13.0,75.4,38.899,34.4,
13.4.2025,22:7:52.050,43.945,13.0,75.2,39.321,34.5,
13.4.2025,22:7:52.550,43.419,12.0,75.2,39.453,34.1,
13.4.2025,22:7:53.054,43.583,13.0,75.2,39.792,34.6,
13.4.2025,22:7:53.554,43.638,12.0,75.3,38.883,34.5,
13.4.2025,22:7:54.051,43.420,12.0,75.2,39.360,34.3,
13.4.2025,22:7:54.555,44.018,12.0,75.0,39.141,34.0,
13.4.2025,22:7:55.056,44.569,13.0,75.0,39.256,34.0,
13.4.2025,22:7:55.556,43.451,13.0,74.9,39.362,34.1,
13.4.2025,22:7:56.055,44.158,11.0,75.0,39.515,34.8,
13.4.2025,22:7:56.555,44.132,12.0,75.0,39.232,33.8,
13.4.2025,22:7:57.057,43.439,13.0,75.2,38.752,34.3,
13.4.2025,22:7:57.546,44.080,12.0,75.3,39.497,34.2,
13.4.2025,22:7:58.050,43.466,11.0,75.4,38.879,34.3,
13.4.2025,22:7:58.551,43.400,12.0,75.3,39.932,34.4,
13.4.2025,22:7:59.048,43.756,13.0,75.4,39.857,34.3,
13.4.2025,22:7:59.548,44.359,1.0,75.5,38.678,34.3,
13.4.2025,22:8:0.053,43.805,12.0,75.4,40.103,34.5,
13.4.2025,22:8:0.551,43.609,24.0,75.2,39.264,34.3,
13.4.2025,22:8:1.053,43.483,13.0,74.7,39.337,34.4,
13.4.2025,22:8:1.552,43.192,6.0,74.8,39.485,34.7,
13.4.2025,22:8:2.057,43.559,12.0,74.9,39.705,35.0,
13.4.2025,22:8:2.545,43.502,12.0,74.9,39.669,34.4,
13.4.2025,22:8:3.045,44.127,12.0,74.9,39.780,34.7,
13.4.2025,22:8:3.548,43.270,10.0,74.8,39.231,34.6,
13.4.2025,22:8:4.050,42.992,13.0,74.8,39.658,34.3,
13.4.2025,22:8:4.550,44.256,10.0,75.1,39.648,34.7,
13.4.2025,22:8:5.051,43.975,12.0,75.1,39.263,34.2,
13.4.2025,22:8:5.553,43.912,11.0,75.2,39.600,34.2,
13.4.2025,22:8:6.053,44.637,12.0,75.6,39.368,34.3,
13.4.2025,22:8:6.568,43.989,12.0,75.2,38.903,34.6,
13.4.2025,22:8:7.083,42.743,13.0,75.4,39.645,34.5,
13.4.2025,22:8:7.586,43.273,12.0,75.2,41.788,37.4,
13.4.2025,22:8:8.090,43.665,12.0,74.6,40.600,35.6,
13.4.2025,22:8:8.588,43.481,11.0,74.7,39.795,34.9,
13.4.2025,22:8:9.087,43.748,12.0,74.4,39.182,33.8,
13.4.2025,22:8:9.588,43.316,11.0,74.8,41.980,38.7,
13.4.2025,22:8:10.086,44.222,12.0,74.3,40.243,35.2,
13.4.2025,22:8:10.590,43.940,12.0,74.3,39.003,34.5,
13.4.2025,22:8:11.093,43.557,12.0,74.8,38.975,33.9,
13.4.2025,22:8:11.593,43.852,11.0,74.8,39.737,34.3,
13.4.2025,22:8:12.093,44.255,12.0,74.6,39.574,34.1,
13.4.2025,22:8:12.596,43.516,12.0,74.6,39.155,34.3,
13.4.2025,22:8:13.101,43.847,12.0,75.1,39.461,34.5,
13.4.2025,22:8:13.598,43.083,11.0,75.0,39.287,33.8,
13.4.2025,22:8:14.097,43.083,11.0,75.0,39.744,34.1,
13.4.2025,22:8:14.599,43.888,12.0,75.1,38.741,34.0,
13.4.2025,22:8:15.103,44.054,12.0,75.0,39.453,34.8,
13.4.2025,22:8:15.603,43.265,12.0,75.0,39.364,34.3,
13.4.2025,22:8:16.100,43.911,13.0,75.0,39.364,34.1,
13.4.2025,22:8:16.600,44.073,13.0,75.1,40.174,34.1,
13.4.2025,22:8:17.114,44.003,13.0,75.0,39.915,33.9,
13.4.2025,22:8:17.611,43.897,12.0,75.0,39.330,35.5,
13.4.2025,22:8:18.111,43.816,13.0,75.2,40.195,34.9,
13.4.2025,22:8:18.608,43.976,13.0,75.0,39.900,34.8,
13.4.2025,22:8:19.105,43.548,14.0,75.0,40.268,34.7,
13.4.2025,22:8:19.607,43.846,13.0,75.0,39.380,34.3,
13.4.2025,22:8:20.108,43.507,14.0,75.3,40.556,34.5,
13.4.2025,22:8:20.606,44.204,12.0,75.3,40.022,34.6,
13.4.2025,22:8:21.107,43.222,14.0,75.3,39.567,34.3,
13.4.2025,22:8:21.610,43.866,16.0,75.1,40.369,34.4,
13.4.2025,22:8:22.113,43.826,13.0,75.4,39.650,34.2,
13.4.2025,22:8:22.614,42.986,12.0,75.1,39.145,33.9,
13.4.2025,22:8:23.117,43.326,13.0,74.9,39.505,34.1,
13.4.2025,22:8:23.619,43.814,11.0,75.0,40.171,34.4,
13.4.2025,22:8:24.107,43.627,13.0,75.0,39.381,34.2,
13.4.2025,22:8:24.609,43.937,12.0,74.9,39.876,34.1,
13.4.2025,22:8:25.111,43.501,13.0,74.9,39.222,34.0,
13.4.2025,22:8:25.610,44.671,15.0,75.2,39.565,34.5,
13.4.2025,22:8:26.111,43.668,13.0,75.3,39.646,34.2,
13.4.2025,22:8:26.613,42.942,12.0,75.5,39.414,34.2,
13.4.2025,22:8:27.115,44.183,13.0,75.4,39.128,34.1,
13.4.2025,22:8:27.615,43.453,12.0,75.0,38.977,34.2,
13.4.2025,22:8:28.116,44.217,13.0,74.9,39.640,34.0,
13.4.2025,22:8:28.614,43.251,12.0,74.9,39.996,34.7,
13.4.2025,22:8:29.116,44.658,14.0,75.2,39.117,34.4,
13.4.2025,22:8:29.611,43.474,13.0,75.4,39.682,34.5,
13.4.2025,22:8:30.111,43.387,13.0,75.5,39.729,34.5,
13.4.2025,22:8:30.611,43.622,12.0,75.2,40.906,34.7,
13.4.2025,22:8:31.115,43.690,13.0,75.3,39.702,34.1,
13.4.2025,22:8:31.614,43.844,12.0,75.3,39.577,34.3,
13.4.2025,22:8:32.116,43.303,14.0,75.4,38.941,34.4,
13.4.2025,22:8:32.617,43.500,12.0,75.4,39.570,33.6,
13.4.2025,22:8:33.118,43.677,13.0,75.1,39.754,34.1,
13.4.2025,22:8:33.615,43.790,13.0,75.3,39.284,34.2,
13.4.2025,22:8:34.117,44.595,12.0,75.1,39.701,34.9,
13.4.2025,22:8:34.615,44.567,13.0,75.1,39.503,34.4,
13.4.2025,22:8:35.116,43.668,13.0,75.0,39.168,34.3,
13.4.2025,22:8:35.617,44.169,13.0,75.3,39.459,34.3,
13.4.2025,22:8:36.117,43.488,11.0,75.3,40.000,34.6,
13.4.2025,22:8:36.604,44.071,12.0,75.3,40.259,34.2,
13.4.2025,22:8:37.107,43.852,13.0,75.4,40.047,34.5,
13.4.2025,22:8:37.605,44.168,12.0,75.2,39.340,34.0,
13.4.2025,22:8:38.109,44.099,12.0,75.0,39.481,34.5,
13.4.2025,22:8:38.616,43.230,12.0,74.5,44.375,40.4,
13.4.2025,22:8:39.112,43.613,13.0,72.8,42.584,40.4,
13.4.2025,22:8:39.616,43.347,12.0,73.9,39.253,34.2,
13.4.2025,22:8:40.117,43.941,13.0,74.0,39.331,34.5,
