Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,23:41:17.587,50.125,27.0,564.9,32.771,20.2,
13.4.2025,23:41:18.086,50.034,26.0,549.2,33.586,21.3,
13.4.2025,23:41:18.586,49.843,27.0,564.0,33.673,20.9,
13.4.2025,23:41:19.076,50.005,26.0,565.8,33.750,20.9,
13.4.2025,23:41:19.577,50.032,26.0,566.3,33.446,20.7,
13.4.2025,23:41:20.080,49.948,25.0,562.5,33.036,20.6,
13.4.2025,23:41:20.583,50.038,26.0,570.1,33.553,20.7,
13.4.2025,23:41:21.086,50.193,26.0,571.5,34.152,20.5,
13.4.2025,23:41:21.573,50.151,26.0,557.3,33.026,21.1,
13.4.2025,23:41:22.076,49.879,26.0,560.8,32.739,20.6,
13.4.2025,23:41:22.581,49.821,26.0,561.0,34.197,20.8,
13.4.2025,23:41:23.084,50.291,26.0,562.3,33.181,21.2,
13.4.2025,23:41:23.587,49.910,26.0,565.4,33.208,21.4,
13.4.2025,23:41:24.076,50.132,26.0,554.3,33.066,20.7,
13.4.2025,23:41:24.577,50.159,26.0,574.0,33.360,20.9,
13.4.2025,23:41:25.080,50.189,25.0,572.9,33.302,20.7,
13.4.2025,23:41:25.581,50.021,26.0,557.0,33.159,20.5,
13.4.2025,23:41:26.086,50.193,26.0,569.0,32.882,20.5,
13.4.2025,23:41:26.586,50.015,26.0,567.2,32.941,20.7,
13.4.2025,23:41:27.073,50.284,26.0,564.2,33.203,20.9,
13.4.2025,23:41:27.577,50.023,26.0,568.5,33.042,20.6,
13.4.2025,23:41:28.078,50.095,25.0,563.3,33.543,20.6,
13.4.2025,23:41:28.579,50.010,26.0,563.3,33.855,20.8,
13.4.2025,23:41:29.081,50.369,26.0,571.3,33.561,20.8,
13.4.2025,23:41:29.583,50.121,26.0,568.6,32.943,20.8,
13.4.2025,23:41:30.081,50.079,26.0,560.7,33.149,20.5,
13.4.2025,23:41:30.583,49.983,25.0,567.4,34.343,22.2,
13.4.2025,23:41:31.087,50.285,26.0,565.4,34.682,20.7,
13.4.2025,23:41:31.586,50.085,25.0,571.7,33.751,20.9,
13.4.2025,23:41:32.086,50.156,26.0,560.2,33.857,20.4,
13.4.2025,23:41:32.575,50.156,26.0,571.6,32.932,20.6,
13.4.2025,23:41:33.075,50.140,26.0,567.5,33.778,20.8,
13.4.2025,23:41:33.576,49.923,26.0,568.5,33.431,20.9,
13.4.2025,23:41:34.080,49.915,26.0,551.9,33.499,20.8,
13.4.2025,23:41:34.581,50.154,26.0,565.4,33.238,21.1,
13.4.2025,23:41:35.085,50.193,29.0,567.8,33.643,20.9,
13.4.2025,23:41:35.589,50.051,26.0,558.9,33.019,21.0,
13.4.2025,23:41:36.076,50.050,27.0,564.3,33.028,20.7,
13.4.2025,23:41:36.574,50.093,26.0,564.8,33.411,20.7,
13.4.2025,23:41:37.075,50.051,27.0,571.3,33.080,21.2,
13.4.2025,23:41:37.578,50.058,26.0,564.3,33.346,20.5,
13.4.2025,23:41:38.079,50.101,33.0,563.4,33.188,20.9,
13.4.2025,23:41:38.581,50.180,26.0,564.2,33.634,20.8,
13.4.2025,23:41:39.082,50.186,26.0,571.6,33.175,20.8,
13.4.2025,23:41:39.583,50.021,26.0,565.7,33.473,20.6,
13.4.2025,23:41:40.083,49.908,26.0,555.7,32.716,20.4,
13.4.2025,23:41:40.580,49.827,26.0,552.5,33.776,20.4,
13.4.2025,23:41:41.080,49.709,26.0,550.8,32.795,20.4,
13.4.2025,23:41:41.581,50.026,26.0,563.0,33.973,21.1,
13.4.2025,23:41:42.079,49.927,26.0,566.9,33.355,20.6,
13.4.2025,23:41:42.584,50.185,26.0,561.0,33.133,20.7,
13.4.2025,23:41:43.073,49.966,26.0,563.6,33.236,20.7,
13.4.2025,23:41:43.574,50.177,28.0,570.7,33.687,21.2,
13.4.2025,23:41:44.089,50.060,26.0,568.5,33.828,20.6,
13.4.2025,23:41:44.575,50.228,27.0,569.2,33.369,20.6,
13.4.2025,23:41:45.076,50.259,27.0,565.9,33.275,20.6,
13.4.2025,23:41:45.581,50.184,28.0,569.9,33.131,20.8,
13.4.2025,23:41:46.080,50.241,27.0,568.0,33.047,20.6,
13.4.2025,23:41:46.584,49.811,27.0,565.0,32.893,20.7,
13.4.2025,23:41:47.085,50.277,26.0,571.5,32.858,20.6,
13.4.2025,23:41:47.586,50.064,26.0,570.3,33.348,20.6,
13.4.2025,23:41:48.075,50.012,26.0,570.3,33.348,20.6,
13.4.2025,23:41:48.576,50.016,26.0,564.6,33.851,20.8,
13.4.2025,23:41:49.081,50.200,26.0,559.6,33.445,20.7,
13.4.2025,23:41:49.585,50.154,27.0,559.6,33.445,20.7,
13.4.2025,23:41:50.075,50.012,26.0,563.1,32.954,20.6,
13.4.2025,23:41:50.575,50.129,26.0,569.3,33.297,21.0,
13.4.2025,23:41:51.080,50.300,26.0,569.3,33.297,21.0,
13.4.2025,23:41:51.580,49.958,26.0,553.9,39.166,31.4,
13.4.2025,23:41:52.093,49.346,26.0,533.5,36.537,24.6,
13.4.2025,23:41:52.601,48.985,26.0,485.6,56.458,58.0,
13.4.2025,23:41:53.090,49.743,28.0,485.2,54.125,53.6,
