Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
14.4.2025,23:23:59.967,49.476,34.0,2073.1,41.530,34.1,
14.4.2025,23:24:0.479,49.492,33.0,2041.3,42.889,35.6,
14.4.2025,23:24:0.977,49.464,34.0,2192.1,43.309,36.0,
14.4.2025,23:24:1.475,49.500,34.0,2112.1,42.664,35.4,
14.4.2025,23:24:1.973,49.640,33.0,2152.2,42.970,35.9,
14.4.2025,23:24:2.468,49.487,33.0,2185.6,42.905,35.5,
14.4.2025,23:24:2.971,49.537,33.0,2156.9,43.178,35.4,
14.4.2025,23:24:3.470,49.642,33.0,2112.0,43.345,35.8,
14.4.2025,23:24:3.966,49.659,33.0,2185.7,43.058,35.7,
14.4.2025,23:24:4.468,49.554,33.0,2146.4,42.787,35.5,
14.4.2025,23:24:4.967,49.652,33.0,2175.5,43.649,37.1,
14.4.2025,23:24:5.465,49.365,33.0,2038.6,42.586,35.2,
14.4.2025,23:24:5.978,49.556,33.0,2089.4,42.326,34.7,
14.4.2025,23:24:6.479,49.288,34.0,2127.2,42.790,35.5,
14.4.2025,23:24:6.973,49.288,34.0,2000.1,43.608,36.3,
14.4.2025,23:24:7.473,49.406,34.0,2071.5,42.481,34.4,
14.4.2025,23:24:7.971,49.296,35.0,2110.7,42.893,35.3,
14.4.2025,23:24:8.473,49.507,36.0,2024.3,42.914,34.9,
14.4.2025,23:24:8.969,49.285,34.0,2160.5,42.755,35.1,
14.4.2025,23:24:9.469,49.535,34.0,2115.3,42.585,35.5,
14.4.2025,23:24:9.973,49.432,35.0,2121.0,42.505,34.8,
14.4.2025,23:24:10.476,49.430,34.0,2151.7,42.975,35.2,
14.4.2025,23:24:10.975,49.344,36.0,2118.7,43.334,35.4,
14.4.2025,23:24:11.471,49.484,34.0,2183.2,42.871,35.1,
14.4.2025,23:24:11.970,49.402,34.0,2142.6,42.359,34.9,
14.4.2025,23:24:12.469,49.423,34.0,2181.5,43.005,35.6,
14.4.2025,23:24:12.969,48.889,36.0,2032.8,41.959,34.2,
14.4.2025,23:24:13.473,49.119,36.0,2010.3,42.138,34.5,
14.4.2025,23:24:13.969,49.277,35.0,2122.5,43.202,35.4,
14.4.2025,23:24:14.481,49.218,35.0,2110.6,42.171,34.7,
14.4.2025,23:24:14.985,49.171,36.0,2015.0,42.167,34.4,
14.4.2025,23:24:15.486,49.242,37.0,2136.8,42.545,35.1,
14.4.2025,23:24:15.990,49.342,34.0,2151.7,41.592,33.9,
14.4.2025,23:24:16.494,49.397,35.0,2177.8,43.241,35.8,
14.4.2025,23:24:16.995,49.511,35.0,2136.5,42.529,35.0,
14.4.2025,23:24:17.493,49.447,32.0,2111.4,43.320,35.9,
14.4.2025,23:24:17.992,49.495,34.0,2139.7,42.624,35.6,
14.4.2025,23:24:18.495,49.533,34.0,2163.0,43.676,36.0,
14.4.2025,23:24:18.984,49.433,35.0,2154.7,43.116,34.7,
14.4.2025,23:24:19.486,49.555,34.0,2071.6,43.433,36.1,
14.4.2025,23:24:19.991,49.387,34.0,2109.1,42.628,34.9,
14.4.2025,23:24:20.488,49.331,34.0,1897.5,43.700,35.8,
14.4.2025,23:24:20.989,49.354,32.0,2038.9,42.181,34.5,
14.4.2025,23:24:21.486,49.363,34.0,1948.4,42.521,35.5,
14.4.2025,23:24:21.986,49.268,31.0,1928.6,41.562,33.6,
14.4.2025,23:24:22.487,49.396,34.0,1983.4,43.736,35.9,
14.4.2025,23:24:22.989,49.323,33.0,1956.5,42.020,34.7,
14.4.2025,23:24:23.485,49.293,34.0,1844.6,43.121,35.0,
14.4.2025,23:24:23.987,49.297,32.0,1854.4,42.582,34.4,
14.4.2025,23:24:24.486,49.317,34.0,1581.6,43.105,35.7,
14.4.2025,23:24:24.983,49.373,34.0,1462.0,42.635,34.5,
14.4.2025,23:24:25.485,49.397,35.0,1426.6,43.582,36.4,
14.4.2025,23:24:25.995,49.400,33.0,1034.7,42.270,34.4,
14.4.2025,23:24:26.497,49.497,34.0,1164.9,43.694,36.2,
14.4.2025,23:24:26.993,49.441,32.0,1164.9,42.178,34.2,
14.4.2025,23:24:27.483,49.244,35.0,539.8,42.178,34.2,
14.4.2025,23:24:27.985,49.199,34.0,2115.2,42.634,35.1,
14.4.2025,23:24:28.486,49.270,34.0,2124.3,41.965,34.1,
14.4.2025,23:24:28.983,49.240,33.0,2078.0,42.947,35.8,
14.4.2025,23:24:29.482,49.304,34.0,2069.4,41.825,34.0,
14.4.2025,23:24:29.983,49.216,32.0,2114.4,42.917,35.7,
14.4.2025,23:24:30.481,49.243,35.0,2062.8,41.464,33.9,
14.4.2025,23:24:30.984,49.379,34.0,2086.1,42.514,35.1,
14.4.2025,23:24:31.494,49.473,33.0,1982.5,41.983,34.2,
14.4.2025,23:24:31.992,49.466,34.0,2104.5,43.434,36.6,
14.4.2025,23:24:32.488,49.483,34.0,2067.5,42.183,34.8,
14.4.2025,23:24:32.990,49.541,33.0,2148.3,43.149,36.0,
14.4.2025,23:24:33.489,49.583,34.0,2198.4,43.078,35.1,
14.4.2025,23:24:33.990,49.519,33.0,2154.7,43.437,36.2,
14.4.2025,23:24:34.486,49.551,34.0,2143.0,42.451,34.9,
14.4.2025,23:24:34.988,49.590,33.0,2119.4,43.427,36.5,
14.4.2025,23:24:35.489,49.391,34.0,1963.0,42.282,34.7,
14.4.2025,23:24:35.985,49.284,34.0,2034.3,43.333,36.3,
14.4.2025,23:24:36.485,49.635,33.0,2194.0,42.374,34.8,
14.4.2025,23:24:36.984,49.329,34.0,2047.6,42.583,35.8,
14.4.2025,23:24:37.483,49.476,35.0,2108.3,42.234,34.5,
14.4.2025,23:24:37.980,49.466,34.0,2109.3,43.252,36.5,
14.4.2025,23:24:38.496,49.546,33.0,2150.0,42.235,34.9,
14.4.2025,23:24:38.993,49.549,34.0,2115.5,42.866,36.2,
14.4.2025,23:24:39.490,49.549,34.0,2095.1,42.312,35.2,
14.4.2025,23:24:39.988,49.473,35.0,2112.8,43.286,36.1,
14.4.2025,23:24:40.489,49.488,34.0,2173.3,42.395,34.8,
