Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,22:43:8.083,19.3,33.413,51.191,27.0,624.3,
16.4.2025,22:43:8.582,19.2,33.066,51.191,27.0,617.9,
16.4.2025,22:43:9.081,19.1,32.682,51.221,28.0,614.1,
16.4.2025,22:43:9.576,20.1,34.212,51.077,30.0,622.3,
16.4.2025,22:43:10.075,20.3,33.808,51.329,29.0,624.6,
16.4.2025,22:43:10.575,19.2,32.959,51.434,33.0,618.9,
16.4.2025,22:43:11.079,19.2,32.959,51.056,28.0,618.9,
16.4.2025,22:43:11.580,19.2,33.263,51.063,33.0,610.0,
16.4.2025,22:43:12.079,19.4,33.711,51.416,29.0,621.5,
16.4.2025,22:43:12.578,19.0,32.991,51.242,30.0,613.5,
16.4.2025,22:43:13.077,19.0,32.991,51.267,28.0,613.5,
16.4.2025,22:43:13.576,19.1,33.031,51.058,28.0,625.9,
16.4.2025,22:43:14.078,19.1,33.031,51.393,29.0,625.9,
16.4.2025,22:43:14.580,19.1,33.260,51.239,27.0,620.8,
16.4.2025,22:43:15.080,19.2,33.191,50.726,28.0,606.0,
16.4.2025,22:43:15.581,19.3,33.193,51.216,28.0,620.4,
16.4.2025,22:43:16.078,19.3,32.862,51.001,29.0,622.2,
16.4.2025,22:43:16.580,19.3,32.862,51.035,29.0,622.2,
16.4.2025,22:43:17.080,19.3,33.076,51.028,29.0,623.1,
16.4.2025,22:43:17.579,19.1,33.180,51.472,28.0,622.9,
16.4.2025,22:43:18.078,19.0,33.242,51.173,29.0,624.3,
16.4.2025,22:43:18.579,19.2,33.165,51.499,28.0,622.5,
16.4.2025,22:43:19.079,19.2,33.165,51.481,29.0,622.5,
16.4.2025,22:43:19.579,19.3,33.309,51.068,28.0,623.6,
16.4.2025,22:43:20.077,19.5,33.017,51.113,28.0,623.0,
16.4.2025,22:43:20.577,19.8,33.427,51.358,28.0,620.1,
16.4.2025,22:43:21.077,19.3,33.639,51.046,27.0,622.3,
16.4.2025,22:43:21.573,19.6,34.124,51.364,28.0,621.4,
16.4.2025,22:43:22.073,19.4,33.421,51.227,28.0,624.6,
16.4.2025,22:43:22.574,19.4,33.194,51.270,28.0,626.5,
16.4.2025,22:43:23.074,19.4,33.568,50.823,28.0,625.7,
16.4.2025,22:43:23.573,19.7,32.795,51.434,28.0,627.9,
16.4.2025,22:43:24.086,19.6,33.039,51.229,28.0,610.3,
16.4.2025,22:43:24.584,19.4,33.075,51.466,28.0,626.0,
16.4.2025,22:43:25.083,19.5,33.047,51.297,28.0,622.7,
16.4.2025,22:43:25.585,19.5,33.267,51.125,28.0,607.2,
16.4.2025,22:43:26.087,19.3,33.015,51.189,26.0,626.2,
16.4.2025,22:43:26.573,19.6,34.180,51.045,28.0,604.6,
16.4.2025,22:43:27.073,19.3,33.432,51.470,29.0,626.0,
16.4.2025,22:43:27.573,19.1,33.384,51.136,28.0,627.6,
16.4.2025,22:43:28.087,19.1,32.840,51.091,28.0,620.2,
16.4.2025,22:43:28.573,19.2,33.382,50.854,28.0,596.0,
16.4.2025,22:43:29.088,19.1,32.991,51.018,28.0,625.4,
16.4.2025,22:43:29.572,19.1,32.989,51.279,28.0,626.3,
16.4.2025,22:43:30.087,19.3,33.228,51.098,28.0,624.6,
16.4.2025,22:43:30.587,19.2,33.467,51.417,28.0,622.3,
16.4.2025,22:43:31.085,20.4,35.661,51.038,28.0,614.2,
16.4.2025,22:43:31.586,19.3,34.037,51.057,28.0,622.3,
16.4.2025,22:43:32.083,19.1,33.265,51.257,28.0,623.5,
16.4.2025,22:43:32.583,19.1,32.978,50.881,28.0,612.3,
16.4.2025,22:43:33.083,19.0,33.207,50.881,28.0,622.3,
16.4.2025,22:43:33.581,19.2,33.375,51.166,29.0,613.8,
16.4.2025,22:43:34.083,19.0,33.087,51.066,28.0,624.5,
16.4.2025,22:43:34.599,19.1,33.197,51.324,28.0,610.6,
16.4.2025,22:43:35.113,19.1,33.505,50.869,28.0,615.6,
16.4.2025,22:43:35.612,19.1,33.097,51.257,29.0,615.4,
16.4.2025,22:43:36.134,19.1,33.546,51.267,28.0,622.1,
16.4.2025,22:43:36.619,19.2,33.587,51.109,28.0,616.5,
16.4.2025,22:43:37.133,18.9,33.076,51.345,28.0,604.7,
16.4.2025,22:43:37.635,20.2,33.782,51.267,32.0,611.0,
16.4.2025,22:43:38.155,19.1,33.503,51.423,29.0,621.6,
16.4.2025,22:43:38.671,19.3,33.165,51.292,28.0,618.5,
16.4.2025,22:43:39.171,19.1,33.365,51.297,28.0,624.2,
16.4.2025,22:43:39.672,19.8,33.312,51.413,31.0,625.0,
16.4.2025,22:43:40.171,20.4,34.708,50.698,30.0,602.2,
16.4.2025,22:43:40.669,19.0,33.171,51.250,31.0,613.6,
16.4.2025,22:43:41.169,20.0,34.148,51.355,26.0,623.9,
16.4.2025,22:43:41.669,19.2,33.427,51.045,30.0,612.8,
16.4.2025,22:43:42.167,20.4,34.462,51.478,29.0,626.6,
16.4.2025,22:43:42.682,19.0,33.048,51.262,31.0,624.2,
16.4.2025,22:43:43.198,19.2,33.234,51.286,28.0,625.2,
16.4.2025,22:43:43.712,19.1,33.279,51.231,30.0,626.5,
16.4.2025,22:43:44.212,19.5,33.490,51.025,28.0,613.2,
16.4.2025,22:43:44.710,20.5,34.133,51.165,30.0,620.0,
16.4.2025,22:43:45.210,19.2,32.850,51.144,28.0,628.0,
16.4.2025,22:43:45.710,19.2,33.086,51.274,30.0,624.9,
16.4.2025,22:43:46.209,19.3,33.132,51.232,29.0,627.4,
16.4.2025,22:43:46.706,19.1,33.058,51.381,30.0,622.5,
16.4.2025,22:43:47.207,19.1,33.381,51.177,28.0,614.8,
16.4.2025,22:43:47.711,19.1,33.024,51.256,29.0,615.9,
16.4.2025,22:43:48.212,21.0,34.452,51.473,28.0,618.0,
16.4.2025,22:43:48.710,19.3,33.130,50.929,29.0,615.9,
16.4.2025,22:43:49.200,19.0,32.682,50.859,28.0,617.7,
16.4.2025,22:43:49.703,19.3,33.752,51.008,28.0,613.3,
16.4.2025,22:43:50.202,18.9,33.156,51.339,28.0,609.6,
16.4.2025,22:43:50.702,19.4,33.335,51.165,29.0,617.3,
16.4.2025,22:43:51.203,20.2,34.400,51.393,28.0,618.9,
16.4.2025,22:43:51.705,19.7,33.306,51.345,28.0,622.7,
16.4.2025,22:43:52.209,19.0,33.253,51.186,28.0,616.8,
16.4.2025,22:43:52.707,19.0,33.253,51.328,28.0,616.8,
16.4.2025,22:43:53.208,19.2,33.146,51.087,28.0,608.2,
16.4.2025,22:43:53.709,19.0,33.881,50.991,29.0,608.8,
16.4.2025,22:43:54.223,19.0,33.350,51.352,28.0,620.7,
16.4.2025,22:43:54.722,19.4,33.296,51.270,29.0,614.7,
16.4.2025,22:43:55.220,19.4,33.296,51.460,29.0,614.7,
16.4.2025,22:43:55.722,19.3,33.096,51.276,29.0,628.3,
16.4.2025,22:43:56.237,19.4,32.968,51.215,29.0,620.5,
16.4.2025,22:43:56.738,19.2,32.856,51.237,29.0,622.9,
16.4.2025,22:43:57.236,19.2,33.141,51.197,29.0,621.0,
16.4.2025,22:43:57.736,19.1,32.984,51.202,29.0,618.0,
16.4.2025,22:43:58.253,19.3,33.106,51.284,29.0,617.3,
16.4.2025,22:43:58.750,19.2,33.076,50.885,28.0,608.6,
16.4.2025,22:43:59.250,19.2,33.076,51.060,29.0,608.6,
16.4.2025,22:43:59.749,18.8,32.746,51.209,29.0,610.6,
16.4.2025,22:44:0.247,19.9,33.742,51.230,29.0,624.6,
16.4.2025,22:44:0.746,19.7,33.322,51.173,28.0,612.4,
16.4.2025,22:44:1.245,19.2,33.172,51.456,29.0,621.7,
16.4.2025,22:44:1.746,19.4,33.180,51.057,29.0,617.1,
16.4.2025,22:44:2.248,19.2,33.228,51.161,28.0,618.9,
16.4.2025,22:44:2.748,19.0,32.925,51.204,28.0,626.6,
16.4.2025,22:44:3.247,19.0,32.970,50.793,28.0,621.8,
16.4.2025,22:44:3.745,19.0,32.806,51.026,28.0,610.8,
16.4.2025,22:44:4.248,19.0,32.792,51.242,28.0,616.1,
16.4.2025,22:44:4.744,19.0,32.781,51.407,29.0,630.5,
16.4.2025,22:44:5.273,19.2,33.464,51.334,28.0,611.4,
16.4.2025,22:44:5.763,19.1,32.880,51.004,28.0,608.5,
16.4.2025,22:44:6.259,19.1,33.744,51.458,28.0,626.6,
16.4.2025,22:44:6.773,21.6,34.925,51.373,28.0,621.0,
16.4.2025,22:44:7.287,19.0,33.297,51.347,28.0,627.0,
16.4.2025,22:44:7.805,19.2,32.960,51.089,28.0,626.8,
16.4.2025,22:44:8.300,20.2,34.477,51.387,28.0,625.2,
16.4.2025,22:44:8.797,19.3,33.624,51.396,28.0,606.4,
16.4.2025,22:44:9.295,19.2,33.277,51.052,28.0,627.7,
16.4.2025,22:44:9.796,19.6,33.422,51.404,28.0,615.1,
16.4.2025,22:44:10.295,19.3,33.456,51.362,28.0,616.7,
16.4.2025,22:44:10.794,19.3,33.985,51.285,28.0,616.9,
16.4.2025,22:44:11.296,19.1,33.924,50.811,27.0,601.2,
16.4.2025,22:44:11.796,19.1,33.074,50.916,28.0,614.4,
16.4.2025,22:44:12.294,19.0,33.329,50.972,28.0,614.5,
16.4.2025,22:44:12.793,19.1,33.609,51.337,28.0,626.1,
16.4.2025,22:44:13.293,19.0,33.171,51.290,28.0,620.2,
16.4.2025,22:44:13.796,20.0,33.376,51.263,28.0,623.0,
16.4.2025,22:44:14.295,19.1,33.332,51.376,28.0,622.7,
16.4.2025,22:44:14.798,19.4,32.999,51.336,28.0,625.9,
16.4.2025,22:44:15.311,19.5,33.248,51.240,28.0,619.7,
16.4.2025,22:44:15.808,19.4,33.225,51.261,28.0,623.9,
16.4.2025,22:44:16.325,19.4,33.165,51.355,28.0,624.4,
16.4.2025,22:44:16.826,19.5,33.417,51.349,28.0,619.5,
16.4.2025,22:44:17.326,19.3,32.592,51.079,28.0,600.7,
16.4.2025,22:44:17.825,19.4,33.210,51.416,28.0,623.1,
16.4.2025,22:44:18.323,19.3,33.099,51.416,28.0,619.6,
16.4.2025,22:44:18.837,18.8,33.252,50.978,27.0,608.8,
16.4.2025,22:44:19.338,19.1,33.157,51.266,28.0,621.0,
16.4.2025,22:44:19.837,19.2,32.809,51.584,28.0,617.8,
16.4.2025,22:44:20.337,19.4,33.193,51.464,30.0,623.3,
16.4.2025,22:44:20.825,19.1,33.545,51.269,29.0,615.6,
16.4.2025,22:44:21.337,19.2,32.935,51.574,33.0,624.7,
16.4.2025,22:44:21.825,19.4,34.010,51.162,29.0,616.1,
16.4.2025,22:44:22.324,19.3,33.129,51.310,28.0,621.9,
16.4.2025,22:44:22.835,19.0,32.659,51.316,29.0,618.3,
16.4.2025,22:44:23.336,19.3,33.506,51.416,29.0,626.5,
16.4.2025,22:44:23.822,19.4,33.176,51.285,29.0,624.6,
16.4.2025,22:44:24.337,19.1,32.623,51.247,28.0,618.5,
16.4.2025,22:44:24.824,19.4,33.482,51.449,29.0,628.1,
16.4.2025,22:44:25.337,19.3,34.027,51.141,28.0,607.7,
16.4.2025,22:44:25.834,19.3,34.027,51.210,29.0,607.7,
16.4.2025,22:44:26.334,19.5,33.396,51.259,28.0,617.5,
16.4.2025,22:44:26.837,19.1,33.950,51.048,29.0,619.2,
16.4.2025,22:44:27.325,19.3,33.380,51.073,28.0,615.1,
16.4.2025,22:44:27.837,19.2,33.013,51.272,29.0,616.1,
16.4.2025,22:44:28.337,19.2,33.791,51.261,28.0,616.9,
16.4.2025,22:44:28.835,19.2,33.620,51.417,29.0,617.5,
16.4.2025,22:44:29.336,19.1,32.995,51.253,28.0,620.4,
16.4.2025,22:44:29.831,19.4,34.250,51.213,29.0,613.9,
16.4.2025,22:44:30.345,19.4,34.250,51.174,29.0,613.9,
16.4.2025,22:44:30.845,19.3,33.515,51.280,30.0,614.7,
16.4.2025,22:44:31.362,19.3,33.457,51.405,28.0,619.0,
16.4.2025,22:44:31.879,19.5,33.974,51.137,30.0,610.7,
16.4.2025,22:44:32.379,19.2,33.974,51.182,29.0,610.7,
16.4.2025,22:44:32.878,19.2,33.077,51.072,27.0,606.7,
16.4.2025,22:44:33.377,19.3,33.561,51.115,28.0,617.0,
16.4.2025,22:44:33.877,19.2,33.243,50.979,28.0,618.9,
16.4.2025,22:44:34.373,19.1,33.478,51.108,28.0,610.4,
