Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,22:50:26.795,16.7,31.279,49.620,20.0,173.2,
16.4.2025,22:50:27.297,16.4,31.087,49.294,18.0,173.3,
16.4.2025,22:50:27.795,16.2,31.171,50.043,20.0,173.3,
16.4.2025,22:50:28.297,16.4,31.054,49.983,20.0,172.9,
16.4.2025,22:50:28.793,17.2,31.388,51.054,20.0,173.1,
16.4.2025,22:50:29.294,16.1,30.894,50.144,21.0,173.9,
16.4.2025,22:50:29.797,16.0,30.875,49.219,20.0,172.0,
16.4.2025,22:50:30.299,16.2,30.794,49.885,19.0,174.2,
16.4.2025,22:50:30.800,16.4,31.598,50.308,20.0,174.4,
16.4.2025,22:50:31.300,16.0,31.246,49.461,19.0,174.1,
16.4.2025,22:50:31.804,16.0,30.476,50.292,19.0,173.3,
16.4.2025,22:50:32.305,16.0,30.728,50.632,19.0,173.5,
16.4.2025,22:50:32.793,16.1,30.626,49.744,20.0,173.8,
16.4.2025,22:50:33.299,16.2,30.870,49.428,19.0,173.1,
16.4.2025,22:50:33.801,15.9,30.683,48.918,19.0,172.9,
16.4.2025,22:50:34.303,16.2,30.748,50.553,19.0,174.0,
16.4.2025,22:50:34.791,16.2,31.156,49.906,19.0,173.4,
16.4.2025,22:50:35.294,16.7,31.195,48.997,28.0,172.6,
16.4.2025,22:50:35.807,52.5,54.729,49.161,19.0,153.4,
16.4.2025,22:50:36.305,31.4,40.697,49.161,19.0,160.9,
16.4.2025,22:50:36.805,33.3,45.146,49.068,19.0,162.8,
16.4.2025,22:50:37.305,17.3,32.695,49.261,19.0,170.5,
16.4.2025,22:50:37.792,16.1,31.282,49.649,21.0,173.1,
16.4.2025,22:50:38.294,16.1,31.241,50.832,23.0,175.4,
16.4.2025,22:50:38.796,16.0,30.919,51.493,22.0,175.3,
16.4.2025,22:50:39.301,16.4,31.504,49.752,20.0,174.4,
16.4.2025,22:50:39.802,16.6,31.596,50.505,21.0,174.5,
16.4.2025,22:50:40.305,16.1,31.189,51.248,20.0,175.1,
16.4.2025,22:50:40.806,16.3,31.616,49.754,22.0,174.0,
16.4.2025,22:50:41.306,16.0,30.805,51.026,21.0,173.7,
16.4.2025,22:50:41.791,16.1,31.247,50.458,22.0,172.3,
16.4.2025,22:50:42.294,16.3,31.164,50.099,20.0,174.4,
16.4.2025,22:50:42.799,16.1,30.888,50.054,22.0,174.7,
16.4.2025,22:50:43.300,16.1,31.269,50.993,28.0,173.7,
16.4.2025,22:50:43.805,16.0,30.845,49.955,22.0,174.3,
16.4.2025,22:50:44.291,16.3,31.664,51.196,20.0,174.4,
16.4.2025,22:50:44.794,16.1,31.000,49.478,22.0,174.6,
16.4.2025,22:50:45.293,16.3,31.247,50.033,20.0,174.9,
16.4.2025,22:50:45.794,17.1,31.864,49.293,22.0,173.6,
16.4.2025,22:50:46.291,16.2,31.126,50.023,20.0,174.3,
16.4.2025,22:50:46.792,16.2,31.021,49.975,21.0,174.5,
16.4.2025,22:50:47.293,16.0,31.020,50.840,20.0,174.5,
16.4.2025,22:50:47.792,16.2,31.201,51.028,22.0,174.8,
16.4.2025,22:50:48.291,15.9,30.623,50.430,20.0,173.8,
16.4.2025,22:50:48.794,16.5,31.675,49.663,21.0,174.4,
16.4.2025,22:50:49.308,16.3,31.113,49.657,20.0,173.1,
16.4.2025,22:50:49.809,16.2,31.074,49.478,20.0,173.5,
16.4.2025,22:50:50.323,16.2,31.327,50.129,20.0,175.0,
16.4.2025,22:50:50.823,16.3,31.106,50.156,19.0,174.3,
16.4.2025,22:50:51.324,16.2,31.815,49.895,20.0,173.4,
16.4.2025,22:50:51.827,16.4,30.786,50.388,21.0,173.4,
16.4.2025,22:50:52.326,16.2,31.346,50.369,20.0,173.4,
16.4.2025,22:50:52.825,16.2,31.238,49.987,18.0,174.2,
16.4.2025,22:50:53.329,16.0,30.960,50.037,20.0,174.3,
16.4.2025,22:50:53.833,16.3,31.303,50.615,20.0,172.7,
16.4.2025,22:50:54.335,16.2,30.789,50.352,20.0,174.0,
16.4.2025,22:50:54.835,16.2,31.191,50.500,21.0,174.3,
16.4.2025,22:50:55.323,15.9,31.172,49.875,20.0,174.4,
16.4.2025,22:50:55.838,16.2,30.793,50.386,19.0,174.3,
16.4.2025,22:50:56.338,16.3,31.339,51.359,20.0,174.7,
16.4.2025,22:50:56.823,16.2,30.888,50.078,21.0,174.6,
16.4.2025,22:50:57.327,16.3,31.611,49.524,20.0,174.2,
16.4.2025,22:50:57.830,16.1,31.601,50.689,20.0,173.8,
16.4.2025,22:50:58.331,16.0,30.949,50.115,20.0,174.6,
16.4.2025,22:50:58.828,16.1,31.313,50.215,20.0,173.6,
16.4.2025,22:50:59.325,16.0,31.023,49.610,21.0,173.6,
16.4.2025,22:50:59.828,16.1,31.318,50.562,20.0,173.9,
16.4.2025,22:51:0.328,16.3,31.247,51.092,20.0,174.1,
16.4.2025,22:51:0.830,16.1,30.956,49.870,20.0,173.1,
16.4.2025,22:51:1.330,16.3,31.131,50.623,19.0,174.3,
16.4.2025,22:51:1.825,16.0,31.293,50.444,20.0,174.1,
16.4.2025,22:51:2.327,16.2,31.361,51.022,21.0,174.4,
16.4.2025,22:51:2.831,16.0,31.085,50.249,20.0,173.0,
16.4.2025,22:51:3.332,16.1,31.191,51.245,19.0,173.3,
16.4.2025,22:51:3.834,16.1,31.191,49.732,20.0,173.3,
16.4.2025,22:51:4.332,15.9,31.341,50.646,20.0,174.1,
16.4.2025,22:51:4.835,15.9,31.341,50.088,20.0,174.1,
16.4.2025,22:51:5.350,16.6,31.489,50.475,21.0,174.2,
16.4.2025,22:51:5.839,16.6,31.489,49.893,20.0,174.2,
16.4.2025,22:51:6.340,16.6,31.747,51.013,19.0,174.1,
16.4.2025,22:51:6.855,16.3,31.710,50.631,20.0,174.4,
16.4.2025,22:51:7.370,16.4,31.264,50.168,20.0,174.4,
16.4.2025,22:51:7.872,16.4,31.264,50.348,20.0,174.4,
16.4.2025,22:51:8.377,16.3,31.414,49.811,20.0,174.5,
16.4.2025,22:51:8.878,16.4,31.117,49.732,20.0,174.9,
16.4.2025,22:51:9.383,16.4,31.117,51.029,20.0,174.9,
16.4.2025,22:51:9.873,16.5,31.106,50.506,20.0,174.4,
16.4.2025,22:51:10.374,16.3,31.473,50.339,20.0,174.3,
16.4.2025,22:51:10.876,16.4,31.528,50.228,20.0,173.5,
16.4.2025,22:51:11.380,16.2,31.371,50.934,20.0,173.5,
16.4.2025,22:51:11.881,16.2,30.894,50.993,19.0,173.9,
16.4.2025,22:51:12.382,16.7,31.316,49.919,20.0,174.3,
16.4.2025,22:51:12.879,16.6,31.192,50.557,20.0,174.2,
16.4.2025,22:51:13.380,16.6,31.536,50.211,23.0,174.0,
16.4.2025,22:51:13.884,16.2,31.522,50.278,19.0,175.0,
16.4.2025,22:51:14.370,16.4,31.031,49.739,17.0,173.8,
16.4.2025,22:51:14.874,16.5,31.230,50.075,19.0,174.0,
16.4.2025,22:51:15.378,16.2,31.529,50.273,21.0,173.0,
16.4.2025,22:51:15.878,16.1,31.317,49.460,19.0,174.8,
16.4.2025,22:51:16.381,16.4,31.284,50.247,21.0,175.0,
16.4.2025,22:51:16.884,16.4,31.562,50.352,19.0,174.6,
16.4.2025,22:51:17.369,16.3,31.306,49.917,17.0,173.9,
16.4.2025,22:51:17.874,16.1,31.635,49.749,20.0,175.0,
16.4.2025,22:51:18.379,16.2,30.930,50.532,18.0,175.0,
16.4.2025,22:51:18.882,16.0,31.105,49.813,20.0,174.6,
16.4.2025,22:51:19.380,16.4,31.206,49.650,19.0,174.4,
16.4.2025,22:51:19.882,16.0,31.478,50.772,20.0,173.6,
16.4.2025,22:51:20.380,16.3,31.309,50.313,19.0,174.5,
16.4.2025,22:51:20.885,16.3,31.071,50.307,19.0,174.4,
16.4.2025,22:51:21.400,16.2,31.115,50.010,20.0,174.5,
16.4.2025,22:51:21.898,16.3,31.233,49.697,20.0,174.7,
16.4.2025,22:51:22.400,16.3,31.489,50.411,19.0,174.2,
16.4.2025,22:51:22.915,16.0,31.005,50.451,20.0,174.9,
16.4.2025,22:51:23.431,16.1,31.062,50.501,19.0,175.5,
16.4.2025,22:51:23.932,16.1,31.170,49.794,20.0,174.9,
16.4.2025,22:51:24.432,16.2,31.232,50.167,19.0,174.2,
16.4.2025,22:51:24.935,16.2,31.803,50.286,20.0,173.6,
16.4.2025,22:51:25.435,16.0,30.869,49.261,19.0,174.2,
16.4.2025,22:51:25.953,16.2,31.200,49.448,20.0,174.8,
16.4.2025,22:51:26.452,16.2,31.273,50.238,20.0,173.6,
16.4.2025,22:51:26.953,16.3,31.756,49.622,20.0,172.9,
16.4.2025,22:51:27.452,16.0,31.212,49.718,19.0,174.8,
16.4.2025,22:51:27.954,16.4,31.618,49.595,20.0,172.9,
16.4.2025,22:51:28.455,16.0,31.061,50.411,21.0,174.3,
16.4.2025,22:51:28.954,16.2,31.193,49.674,20.0,174.7,
16.4.2025,22:51:29.457,16.2,31.482,50.153,19.0,174.2,
16.4.2025,22:51:29.965,16.0,31.325,49.884,20.0,174.4,
16.4.2025,22:51:30.460,16.1,31.125,48.947,19.0,173.5,
16.4.2025,22:51:30.960,17.3,32.584,49.512,20.0,172.5,
16.4.2025,22:51:31.448,16.0,30.989,49.512,20.0,173.6,
16.4.2025,22:51:31.961,16.3,30.921,50.360,19.0,174.1,
16.4.2025,22:51:32.463,16.1,31.218,49.812,20.0,174.4,
16.4.2025,22:51:32.950,16.2,31.511,49.902,19.0,174.6,
16.4.2025,22:51:33.455,16.0,31.251,51.231,20.0,175.4,
16.4.2025,22:51:33.957,16.0,30.740,49.732,24.0,175.4,
16.4.2025,22:51:34.458,16.1,31.013,48.916,20.0,173.9,
16.4.2025,22:51:34.947,16.0,30.969,49.972,20.0,174.9,
16.4.2025,22:51:35.448,16.1,30.718,49.678,21.0,175.6,
16.4.2025,22:51:35.952,16.4,31.214,50.459,21.0,174.5,
16.4.2025,22:51:36.458,16.4,31.104,51.797,20.0,175.2,
16.4.2025,22:51:36.957,16.3,31.720,50.972,20.0,172.7,
16.4.2025,22:51:37.461,16.9,31.483,49.741,21.0,172.6,
16.4.2025,22:51:37.956,50.6,53.789,49.432,23.0,157.1,
16.4.2025,22:51:38.455,17.6,32.042,51.333,20.0,168.1,
16.4.2025,22:51:38.952,34.1,41.869,50.497,21.0,159.0,
16.4.2025,22:51:39.453,32.0,43.088,50.237,23.0,158.8,
16.4.2025,22:51:39.950,17.2,32.160,49.894,20.0,170.6,
16.4.2025,22:51:40.469,16.2,31.335,51.214,21.0,173.5,
16.4.2025,22:51:40.971,16.4,30.951,50.452,21.0,174.6,
16.4.2025,22:51:41.487,16.3,31.103,50.139,20.0,174.1,
16.4.2025,22:51:42.001,16.2,31.291,50.126,20.0,173.0,
16.4.2025,22:51:42.501,16.0,31.047,50.887,21.0,174.6,
16.4.2025,22:51:43.003,16.2,30.798,50.035,20.0,174.2,
16.4.2025,22:51:43.505,16.0,30.998,51.168,20.0,175.3,
16.4.2025,22:51:44.009,16.0,31.193,50.161,21.0,175.0,
16.4.2025,22:51:44.508,16.0,31.075,51.121,24.0,174.7,
16.4.2025,22:51:45.008,16.3,31.457,50.087,20.0,174.0,
16.4.2025,22:51:45.507,16.0,30.743,50.301,20.0,175.2,
16.4.2025,22:51:45.994,16.3,31.295,49.630,20.0,173.9,
16.4.2025,22:51:46.495,16.4,30.861,51.325,20.0,173.7,
16.4.2025,22:51:46.996,16.3,31.334,51.231,20.0,174.4,
16.4.2025,22:51:47.496,16.0,30.920,50.010,20.0,173.4,
16.4.2025,22:51:47.994,16.2,31.128,50.379,20.0,174.1,
16.4.2025,22:51:48.509,16.7,31.566,50.526,20.0,174.5,
16.4.2025,22:51:49.008,16.4,30.744,50.545,20.0,173.5,
16.4.2025,22:51:49.507,16.0,31.022,50.532,20.0,173.9,
16.4.2025,22:51:50.008,16.4,30.981,50.086,21.0,172.9,
16.4.2025,22:51:50.504,16.1,30.370,52.115,20.0,174.7,
16.4.2025,22:51:51.003,16.1,31.161,51.397,20.0,174.2,
16.4.2025,22:51:51.514,16.0,31.143,51.034,20.0,174.8,
16.4.2025,22:51:52.031,16.3,31.073,51.044,19.0,173.9,
16.4.2025,22:51:52.552,16.6,31.304,49.912,20.0,173.3,
16.4.2025,22:51:53.055,16.3,30.739,50.339,21.0,173.4,
16.4.2025,22:51:53.543,16.0,31.248,51.093,20.0,172.6,
16.4.2025,22:51:54.044,16.3,31.333,49.590,18.0,174.3,
16.4.2025,22:51:54.550,16.0,31.300,50.567,20.0,175.0,
16.4.2025,22:51:55.052,16.3,31.981,49.366,20.0,174.3,
16.4.2025,22:51:55.551,16.1,30.749,51.035,17.0,172.6,
16.4.2025,22:51:56.053,16.2,30.888,50.569,20.0,173.3,
16.4.2025,22:51:56.555,16.2,30.947,50.747,17.0,173.8,
16.4.2025,22:51:57.042,16.2,31.399,51.314,19.0,174.3,
16.4.2025,22:51:57.544,16.0,30.927,50.405,18.0,174.3,
16.4.2025,22:51:58.048,16.2,30.896,50.519,20.0,174.2,
16.4.2025,22:51:58.550,15.9,30.959,50.894,18.0,174.3,
16.4.2025,22:51:59.046,16.2,30.940,51.062,20.0,174.4,
16.4.2025,22:51:59.550,16.0,31.111,50.253,17.0,174.0,
