Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,23:43:35.211,49.830,22.0,312.6,32.355,19.3,
13.4.2025,23:43:35.701,50.502,22.0,314.6,31.931,18.7,
13.4.2025,23:43:36.200,50.026,22.0,314.9,31.885,18.9,
13.4.2025,23:43:36.712,50.082,22.0,312.3,32.085,18.5,
13.4.2025,23:43:37.210,49.977,21.0,313.2,31.624,18.4,
13.4.2025,23:43:37.710,50.449,22.0,314.1,32.099,18.7,
13.4.2025,23:43:38.208,50.094,21.0,313.0,32.718,19.0,
13.4.2025,23:43:38.706,50.130,22.0,313.0,32.718,19.0,
13.4.2025,23:43:39.211,50.739,18.0,310.9,32.042,18.6,
13.4.2025,23:43:39.709,50.144,22.0,314.4,32.287,19.1,
13.4.2025,23:43:40.211,50.101,21.0,311.5,31.685,18.9,
13.4.2025,23:43:40.708,50.107,22.0,311.5,31.685,18.9,
13.4.2025,23:43:41.205,50.834,21.0,313.8,32.313,18.6,
13.4.2025,23:43:41.704,49.905,22.0,313.4,32.446,19.0,
13.4.2025,23:43:42.208,50.211,21.0,312.3,32.247,19.1,
13.4.2025,23:43:42.709,49.972,22.0,309.1,31.911,18.5,
13.4.2025,23:43:43.208,50.407,21.0,310.0,32.067,18.8,
13.4.2025,23:43:43.707,50.209,21.0,313.2,32.168,18.8,
13.4.2025,23:43:44.204,50.192,22.0,314.0,32.018,19.1,
13.4.2025,23:43:44.702,50.108,22.0,314.6,31.967,18.5,
13.4.2025,23:43:45.200,50.180,21.0,310.0,32.422,18.6,
13.4.2025,23:43:45.713,50.204,21.0,312.6,31.324,18.5,
13.4.2025,23:43:46.214,50.011,21.0,313.2,32.170,18.6,
13.4.2025,23:43:46.728,50.270,22.0,311.6,32.081,18.7,
13.4.2025,23:43:47.214,49.920,21.0,312.4,32.198,18.6,
13.4.2025,23:43:47.717,50.095,21.0,312.7,32.544,18.7,
13.4.2025,23:43:48.218,50.055,21.0,312.0,32.893,19.0,
13.4.2025,23:43:48.718,49.535,21.0,315.8,31.819,18.4,
13.4.2025,23:43:49.215,50.067,21.0,314.7,31.939,18.7,
13.4.2025,23:43:49.732,50.090,21.0,313.7,32.320,18.6,
13.4.2025,23:43:50.231,50.431,21.0,315.1,31.865,18.6,
13.4.2025,23:43:50.742,49.882,21.0,316.0,31.836,18.3,
