Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,21:30:26.925,52.7,49.911,115.109,72.0,1536.5,
16.4.2025,21:30:27.428,52.0,49.466,115.438,72.0,1523.7,
16.4.2025,21:30:27.926,50.9,48.073,115.874,72.0,1493.9,
16.4.2025,21:30:28.427,50.9,48.840,115.633,72.0,1471.9,
16.4.2025,21:30:28.923,50.9,48.635,114.896,72.0,1437.9,
16.4.2025,21:30:29.426,50.9,48.379,115.824,73.0,1528.5,
16.4.2025,21:30:29.923,50.9,48.707,116.188,73.0,1544.2,
16.4.2025,21:30:30.426,50.5,48.136,116.185,72.0,1540.4,
16.4.2025,21:30:30.926,52.0,48.997,114.879,72.0,1522.0,
16.4.2025,21:30:31.430,52.0,49.516,116.089,72.0,1564.5,
16.4.2025,21:30:31.919,52.6,49.525,115.925,73.0,1543.8,
16.4.2025,21:30:32.433,51.4,48.998,116.057,72.0,1554.2,
16.4.2025,21:30:32.929,52.0,48.855,115.411,73.0,1553.7,
16.4.2025,21:30:33.433,53.0,50.140,115.706,72.0,1552.2,
16.4.2025,21:30:33.932,52.6,49.734,115.393,73.0,1531.9,
16.4.2025,21:30:34.433,52.2,50.011,115.842,73.0,1567.6,
16.4.2025,21:30:34.932,52.2,50.185,115.249,73.0,1536.1,
16.4.2025,21:30:35.431,56.1,50.913,108.351,72.0,1544.1,
16.4.2025,21:30:35.931,53.2,50.155,114.184,73.0,1560.1,
16.4.2025,21:30:36.433,52.0,49.346,114.961,73.0,1539.2,
16.4.2025,21:30:36.930,51.2,48.417,115.153,74.0,1567.8,
16.4.2025,21:30:37.429,51.7,48.765,114.519,73.0,1588.1,
16.4.2025,21:30:37.931,51.2,48.060,114.864,74.0,1549.2,
16.4.2025,21:30:38.430,52.5,48.999,114.636,72.0,1571.9,
16.4.2025,21:30:38.931,51.8,49.201,114.785,73.0,1543.6,
16.4.2025,21:30:39.429,50.9,48.473,114.801,72.0,1551.7,
16.4.2025,21:30:39.929,55.4,51.277,114.751,72.0,1502.6,
16.4.2025,21:30:40.426,54.1,51.627,114.685,72.0,1477.9,
16.4.2025,21:30:40.929,52.6,49.739,114.206,73.0,1538.1,
16.4.2025,21:30:41.428,50.8,48.593,114.605,72.0,1525.1,
16.4.2025,21:30:41.933,54.6,49.701,104.982,72.0,1310.7,
16.4.2025,21:30:42.431,51.0,48.174,113.293,73.0,1537.1,
16.4.2025,21:30:42.930,51.1,47.602,115.029,73.0,1558.4,
16.4.2025,21:30:43.431,51.3,49.050,115.101,73.0,1571.8,
16.4.2025,21:30:43.930,50.8,47.618,115.574,73.0,1555.1,
16.4.2025,21:30:44.429,50.7,48.893,115.289,73.0,1566.1,
16.4.2025,21:30:44.930,51.2,47.751,115.403,73.0,1567.5,
16.4.2025,21:30:45.428,50.5,47.826,115.123,72.0,1517.1,
16.4.2025,21:30:45.925,52.2,50.043,115.674,73.0,1543.4,
16.4.2025,21:30:46.428,52.0,49.379,114.912,72.0,1530.7,
16.4.2025,21:30:46.933,52.0,49.087,116.026,73.0,1548.7,
16.4.2025,21:30:47.433,52.3,48.598,116.026,73.0,1561.1,
16.4.2025,21:30:47.931,51.1,48.793,116.457,72.0,1584.9,
16.4.2025,21:30:48.427,51.1,48.425,115.964,73.0,1544.1,
16.4.2025,21:30:48.928,51.3,48.967,115.407,73.0,1479.1,
16.4.2025,21:30:49.428,51.3,48.608,115.506,72.0,1576.5,
16.4.2025,21:30:49.925,51.1,48.284,115.300,73.0,1587.0,
16.4.2025,21:30:50.426,51.6,49.357,116.148,72.0,1586.5,
16.4.2025,21:30:50.928,51.0,48.459,116.639,73.0,1552.2,
16.4.2025,21:30:51.428,51.2,48.804,116.032,73.0,1549.3,
16.4.2025,21:30:51.926,51.2,48.804,115.786,73.0,1549.3,
16.4.2025,21:30:52.428,51.4,48.509,116.897,73.0,1578.0,
16.4.2025,21:30:52.924,51.2,48.801,115.538,73.0,1540.3,
16.4.2025,21:30:53.425,52.2,49.829,116.601,73.0,1591.0,
16.4.2025,21:30:53.922,51.6,48.942,115.936,73.0,1542.5,
16.4.2025,21:30:54.423,52.5,48.604,115.254,72.0,1583.5,
16.4.2025,21:30:54.926,52.0,49.166,115.878,73.0,1559.4,
16.4.2025,21:30:55.422,50.9,48.043,116.471,74.0,1555.8,
16.4.2025,21:30:55.923,54.7,50.746,106.103,73.0,1495.0,
16.4.2025,21:30:56.420,51.4,49.171,114.492,74.0,1478.1,
16.4.2025,21:30:56.922,51.7,49.175,115.337,73.0,1443.2,
16.4.2025,21:30:57.423,51.5,48.470,114.793,75.0,1445.6,
16.4.2025,21:30:57.921,50.9,48.805,114.726,73.0,1452.0,
16.4.2025,21:30:58.427,50.8,47.929,114.785,74.0,1486.6,
16.4.2025,21:30:58.930,50.8,48.911,114.314,73.0,1421.7,
16.4.2025,21:30:59.428,50.7,48.616,114.888,72.0,1490.2,
16.4.2025,21:30:59.926,50.9,48.586,114.750,73.0,1477.9,
16.4.2025,21:31:0.423,51.1,48.992,114.887,73.0,1521.7,
16.4.2025,21:31:0.919,50.4,47.924,113.252,73.0,1526.7,
16.4.2025,21:31:1.420,51.3,48.450,114.949,73.0,1537.0,
16.4.2025,21:31:1.919,51.0,48.253,114.680,73.0,1474.6,
16.4.2025,21:31:2.422,50.9,48.515,114.701,72.0,1499.2,
16.4.2025,21:31:2.923,50.6,49.377,115.056,73.0,1518.7,
16.4.2025,21:31:3.421,51.2,48.262,114.366,73.0,1495.3,
16.4.2025,21:31:3.920,51.3,48.747,115.132,72.0,1550.7,
16.4.2025,21:31:4.420,51.8,49.567,114.844,73.0,1599.9,
16.4.2025,21:31:4.932,50.7,48.902,114.661,73.0,1544.6,
16.4.2025,21:31:5.420,51.1,48.474,114.998,73.0,1554.2,
16.4.2025,21:31:5.921,50.9,48.789,115.072,73.0,1544.1,
16.4.2025,21:31:6.425,51.3,49.563,115.679,72.0,1558.0,
16.4.2025,21:31:6.926,51.1,48.458,115.355,73.0,1544.9,
16.4.2025,21:31:7.431,50.7,48.229,116.297,73.0,1562.0,
16.4.2025,21:31:7.917,50.9,48.874,115.733,72.0,1561.2,
16.4.2025,21:31:8.424,52.4,49.241,115.591,71.0,1543.3,
16.4.2025,21:31:8.926,51.2,48.873,115.679,72.0,1573.5,
16.4.2025,21:31:9.427,54.2,49.943,105.831,72.0,1525.1,
16.4.2025,21:31:9.925,50.8,48.387,114.101,72.0,1585.1,
16.4.2025,21:31:10.424,50.8,48.394,114.291,74.0,1574.5,
16.4.2025,21:31:10.921,50.5,48.191,115.155,72.0,1538.4,
16.4.2025,21:31:11.419,53.1,50.561,113.764,71.0,1509.6,
16.4.2025,21:31:11.923,51.2,48.573,115.252,72.0,1574.1,
16.4.2025,21:31:12.419,52.0,49.376,114.802,72.0,1559.9,
16.4.2025,21:31:12.917,51.0,48.068,115.354,72.0,1584.5,
16.4.2025,21:31:13.429,51.0,47.921,115.490,72.0,1572.5,
16.4.2025,21:31:13.929,51.0,48.988,115.819,72.0,1570.6,
16.4.2025,21:31:14.430,51.4,48.494,115.981,73.0,1526.8,
16.4.2025,21:31:14.926,50.7,48.211,116.250,72.0,1581.5,
16.4.2025,21:31:15.426,50.4,48.194,115.947,72.0,1556.4,
16.4.2025,21:31:15.926,50.3,47.885,115.520,72.0,1568.2,
16.4.2025,21:31:16.424,50.3,48.803,115.281,72.0,1543.1,
16.4.2025,21:31:16.924,50.5,48.049,115.281,72.0,1540.6,
16.4.2025,21:31:17.424,50.6,47.676,115.472,73.0,1558.9,
16.4.2025,21:31:17.924,50.5,48.555,115.852,72.0,1526.5,
16.4.2025,21:31:18.425,51.4,48.707,114.709,74.0,1551.3,
16.4.2025,21:31:18.921,50.9,48.812,114.926,72.0,1582.9,
16.4.2025,21:31:19.419,50.7,48.289,115.453,73.0,1568.8,
16.4.2025,21:31:19.933,50.0,47.493,115.409,72.0,1553.0,
16.4.2025,21:31:20.433,51.1,48.634,114.836,72.0,1575.4,
16.4.2025,21:31:20.933,51.0,48.740,114.999,72.0,1541.6,
16.4.2025,21:31:21.431,51.5,48.727,114.821,73.0,1547.0,
16.4.2025,21:31:21.932,51.5,48.727,115.087,73.0,1547.0,
16.4.2025,21:31:22.430,50.3,47.553,115.080,72.0,1575.9,
16.4.2025,21:31:22.931,50.5,48.465,115.522,73.0,1491.3,
16.4.2025,21:31:23.428,51.3,48.908,115.625,72.0,1542.2,
16.4.2025,21:31:23.929,51.2,48.211,115.209,72.0,1567.4,
16.4.2025,21:31:24.425,50.8,48.913,115.349,72.0,1525.6,
16.4.2025,21:31:24.923,50.6,48.401,115.944,72.0,1522.5,
16.4.2025,21:31:25.422,50.8,48.074,115.882,70.0,1477.4,
16.4.2025,21:31:25.922,50.5,48.977,115.248,72.0,1392.2,
16.4.2025,21:31:26.424,50.5,48.272,115.082,71.0,1452.2,
16.4.2025,21:31:26.926,55.8,50.582,108.976,73.0,1425.5,
16.4.2025,21:31:27.423,51.3,48.591,114.962,70.0,1488.4,
16.4.2025,21:31:27.919,51.2,48.899,115.061,72.0,1431.1,
16.4.2025,21:31:28.431,51.0,49.027,115.353,72.0,1525.8,
16.4.2025,21:31:28.928,51.0,48.023,115.420,72.0,1448.2,
16.4.2025,21:31:29.430,51.3,48.831,115.652,72.0,1500.5,
16.4.2025,21:31:29.928,51.2,48.901,115.127,72.0,1491.8,
16.4.2025,21:31:30.425,51.2,48.773,116.526,73.0,1519.1,
16.4.2025,21:31:30.925,50.7,48.311,116.486,72.0,1524.9,
16.4.2025,21:31:31.422,51.1,48.091,115.486,72.0,1567.2,
16.4.2025,21:31:31.923,50.7,47.681,116.478,72.0,1534.9,
16.4.2025,21:31:32.423,50.7,48.238,114.593,71.0,1523.2,
16.4.2025,21:31:32.922,50.6,48.581,115.666,72.0,1548.5,
16.4.2025,21:31:33.419,51.4,48.743,116.126,72.0,1540.5,
16.4.2025,21:31:33.931,52.0,49.126,115.568,72.0,1571.5,
16.4.2025,21:31:34.431,50.6,48.369,116.230,72.0,1555.4,
16.4.2025,21:31:34.925,50.8,48.494,114.833,72.0,1557.1,
16.4.2025,21:31:35.424,54.6,50.570,106.936,73.0,1525.4,
16.4.2025,21:31:35.924,51.2,47.649,114.639,72.0,1562.8,
16.4.2025,21:31:36.424,51.3,48.784,116.243,73.0,1560.9,
16.4.2025,21:31:36.920,50.6,47.847,114.937,72.0,1546.5,
16.4.2025,21:31:37.419,51.0,48.115,115.740,73.0,1564.8,
16.4.2025,21:31:37.921,51.8,48.938,116.627,73.0,1571.0,
16.4.2025,21:31:38.423,50.9,48.566,116.414,73.0,1547.7,
16.4.2025,21:31:38.928,51.1,48.038,115.939,73.0,1548.5,
16.4.2025,21:31:39.429,50.9,48.030,116.873,73.0,1573.4,
16.4.2025,21:31:39.927,50.9,48.085,115.891,71.0,1565.5,
16.4.2025,21:31:40.427,50.4,48.540,116.046,73.0,1540.1,
16.4.2025,21:31:40.932,50.8,48.561,115.330,72.0,1514.3,
16.4.2025,21:31:41.426,50.7,48.988,115.639,73.0,1571.5,
16.4.2025,21:31:41.930,50.6,48.042,115.472,72.0,1570.5,
16.4.2025,21:31:42.430,50.7,48.622,115.595,73.0,1555.6,
16.4.2025,21:31:42.934,50.7,48.373,115.823,73.0,1555.4,
16.4.2025,21:31:43.424,51.2,48.563,114.919,73.0,1561.2,
16.4.2025,21:31:43.927,50.7,48.224,114.737,73.0,1534.7,
16.4.2025,21:31:44.426,51.1,47.699,116.140,73.0,1575.1,
16.4.2025,21:31:44.927,50.4,48.246,115.565,73.0,1541.8,
16.4.2025,21:31:45.427,51.4,49.597,115.087,74.0,1586.1,
16.4.2025,21:31:45.927,50.9,48.662,115.176,72.0,1564.8,
16.4.2025,21:31:46.426,51.0,48.707,114.473,72.0,1454.9,
16.4.2025,21:31:46.927,50.3,48.920,114.578,72.0,1416.0,
16.4.2025,21:31:47.426,50.3,48.022,115.044,73.0,1559.6,
16.4.2025,21:31:47.925,50.1,48.256,115.044,73.0,1544.5,
16.4.2025,21:31:48.422,50.2,48.136,115.195,72.0,1595.6,
16.4.2025,21:31:48.923,50.2,48.136,115.623,73.0,1595.6,
16.4.2025,21:31:49.424,50.0,48.053,115.535,73.0,1533.8,
16.4.2025,21:31:49.917,50.3,48.126,115.624,72.0,1574.9,
16.4.2025,21:31:50.418,54.3,49.845,105.259,73.0,1553.8,
16.4.2025,21:31:50.922,50.4,48.111,114.589,72.0,1453.6,
16.4.2025,21:31:51.420,50.8,48.650,114.703,72.0,1547.9,
16.4.2025,21:31:51.919,50.8,48.533,115.252,72.0,1486.1,
16.4.2025,21:31:52.420,50.6,47.754,116.151,72.0,1522.4,
16.4.2025,21:31:52.921,50.6,48.676,115.848,72.0,1471.9,
16.4.2025,21:31:53.420,50.4,47.949,116.285,73.0,1447.4,
16.4.2025,21:31:53.918,51.0,48.557,116.147,73.0,1445.4,
16.4.2025,21:31:54.432,50.4,47.424,116.000,72.0,1470.7,
16.4.2025,21:31:54.931,53.5,49.740,115.891,72.0,1466.6,
16.4.2025,21:31:55.430,51.0,48.601,116.338,72.0,1510.3,
16.4.2025,21:31:55.930,50.5,48.251,115.913,72.0,1442.8,
16.4.2025,21:31:56.431,50.8,48.668,116.538,80.0,1510.5,
16.4.2025,21:31:56.933,51.0,48.962,115.821,72.0,1446.6,
