Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
14.4.2025,0:21:46.185,113.667,71.0,1591.7,52.988,56.7,
14.4.2025,0:21:46.674,113.597,70.0,1593.9,52.412,56.6,
14.4.2025,0:21:47.180,114.347,71.0,1622.8,53.672,56.9,
14.4.2025,0:21:47.669,109.443,70.0,1597.6,52.523,56.5,
14.4.2025,0:21:48.169,113.351,71.0,1592.7,53.560,56.6,
14.4.2025,0:21:48.673,113.044,70.0,1579.6,52.751,56.8,
14.4.2025,0:21:49.175,115.268,71.0,1601.4,53.106,56.9,
14.4.2025,0:21:49.678,115.835,70.0,1589.7,53.434,57.0,
14.4.2025,0:21:50.176,116.887,70.0,1570.5,53.239,56.8,
14.4.2025,0:21:50.678,110.422,71.0,1533.7,55.382,59.9,
14.4.2025,0:21:51.178,113.716,70.0,1566.3,53.456,57.1,
14.4.2025,0:21:51.669,112.225,70.0,1593.1,52.999,56.7,
14.4.2025,0:21:52.183,114.104,70.0,1582.9,53.197,56.9,
14.4.2025,0:21:52.683,114.622,71.0,1601.9,53.344,57.0,
14.4.2025,0:21:53.174,113.525,70.0,1601.9,53.716,57.0,
14.4.2025,0:21:53.675,111.798,70.0,1577.7,53.716,57.2,
14.4.2025,0:21:54.176,111.276,70.0,1556.4,53.437,57.4,
14.4.2025,0:21:54.674,112.663,70.0,1556.4,53.437,57.4,
14.4.2025,0:21:55.179,114.104,71.0,1603.8,53.176,57.0,
14.4.2025,0:21:55.684,114.084,71.0,1613.9,53.468,57.8,
14.4.2025,0:21:56.173,117.378,71.0,1517.5,52.849,57.1,
14.4.2025,0:21:56.672,117.140,71.0,1600.1,53.806,57.9,
14.4.2025,0:21:57.170,116.417,71.0,1582.5,53.424,57.5,
14.4.2025,0:21:57.670,117.132,71.0,1612.1,53.529,57.6,
14.4.2025,0:21:58.183,116.960,71.0,1596.0,52.998,57.3,
14.4.2025,0:21:58.683,116.804,71.0,1599.1,52.563,56.8,
14.4.2025,0:21:59.170,117.777,71.0,1606.4,52.809,57.1,
14.4.2025,0:21:59.672,116.546,71.0,1603.2,53.414,57.5,
14.4.2025,0:22:0.175,115.832,71.0,1593.7,52.391,56.4,
14.4.2025,0:22:0.674,115.832,71.0,1606.9,53.499,56.9,
14.4.2025,0:22:1.172,117.256,71.0,1574.0,53.315,57.3,
14.4.2025,0:22:1.673,117.874,71.0,1577.8,53.024,57.2,
14.4.2025,0:22:2.171,117.500,71.0,1591.4,52.798,57.0,
14.4.2025,0:22:2.671,117.218,71.0,1604.7,53.599,57.0,
14.4.2025,0:22:3.172,117.651,71.0,1581.1,52.826,57.1,
14.4.2025,0:22:3.678,117.100,71.0,1593.2,53.423,57.2,
14.4.2025,0:22:4.184,116.022,71.0,1582.5,53.199,57.6,
14.4.2025,0:22:4.682,117.175,70.0,1608.0,52.909,56.9,
14.4.2025,0:22:5.182,116.836,71.0,1584.4,53.245,56.9,
14.4.2025,0:22:5.682,117.476,71.0,1597.3,53.305,56.7,
14.4.2025,0:22:6.170,117.008,71.0,1593.7,53.809,57.6,
