Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,21:32:44.620,50.1,48.060,130.394,75.0,1164.8,
16.4.2025,21:32:45.117,50.0,47.095,130.649,76.0,1135.1,
16.4.2025,21:32:45.616,50.8,47.731,134.076,73.0,1196.9,
16.4.2025,21:32:46.118,55.3,53.166,138.494,72.0,1228.7,
16.4.2025,21:32:46.616,56.0,53.238,137.389,72.0,1270.1,
16.4.2025,21:32:47.120,53.5,50.791,132.284,75.0,1149.4,
16.4.2025,21:32:47.618,55.7,51.872,138.855,71.0,1253.3,
16.4.2025,21:32:48.107,54.8,52.420,138.364,72.0,1260.2,
16.4.2025,21:32:48.607,56.4,51.645,127.280,75.0,1113.7,
16.4.2025,21:32:49.121,50.5,48.368,129.708,76.0,1164.2,
16.4.2025,21:32:49.623,52.8,50.604,136.281,73.0,1261.0,
16.4.2025,21:32:50.124,52.2,49.439,134.178,74.0,1160.1,
16.4.2025,21:32:50.623,49.5,46.651,129.783,75.0,1152.1,
16.4.2025,21:32:51.124,50.5,47.728,130.181,75.0,1137.8,
16.4.2025,21:32:51.636,51.0,48.861,130.405,75.0,1144.3,
16.4.2025,21:32:52.129,50.4,48.011,129.810,75.0,1129.7,
16.4.2025,21:32:52.628,49.7,47.232,129.564,75.0,1115.9,
16.4.2025,21:32:53.127,49.8,47.310,129.685,75.0,1139.4,
16.4.2025,21:32:53.631,50.8,47.721,130.623,76.0,1158.1,
16.4.2025,21:32:54.132,49.7,47.478,130.895,76.0,1092.6,
16.4.2025,21:32:54.634,55.9,51.096,135.020,73.0,1112.4,
16.4.2025,21:32:55.132,49.6,46.611,130.783,77.0,1140.4,
16.4.2025,21:32:55.631,49.6,46.847,131.151,76.0,1141.6,
16.4.2025,21:32:56.134,49.8,47.347,131.240,76.0,1141.8,
16.4.2025,21:32:56.631,50.0,47.071,130.579,76.0,1137.8,
16.4.2025,21:32:57.133,49.5,46.391,131.045,81.0,1126.0,
16.4.2025,21:32:57.630,49.1,46.141,131.237,76.0,1138.9,
16.4.2025,21:32:58.129,49.6,47.482,131.616,77.0,1138.9,
