Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,21:45:33.143,41.7,36.768,133.748,79.0,627.3,
16.4.2025,21:45:33.643,48.2,43.454,140.606,77.0,696.2,
16.4.2025,21:45:34.152,45.8,41.962,142.740,76.0,703.2,
16.4.2025,21:45:34.646,46.7,40.639,130.090,72.0,569.9,
16.4.2025,21:45:35.145,42.1,37.723,129.678,79.0,625.3,
16.4.2025,21:45:35.644,46.0,39.545,124.417,77.0,625.8,
16.4.2025,21:45:36.141,41.8,37.664,132.484,79.0,630.3,
16.4.2025,21:45:36.644,46.7,42.779,141.972,76.0,701.2,
16.4.2025,21:45:37.143,45.9,40.691,142.978,76.0,698.6,
16.4.2025,21:45:37.645,42.7,39.044,137.543,77.0,629.2,
16.4.2025,21:45:38.146,41.3,36.592,133.673,79.0,626.9,
16.4.2025,21:45:38.645,46.6,41.864,139.008,77.0,697.9,
16.4.2025,21:45:39.150,44.7,40.037,142.338,76.0,651.0,
16.4.2025,21:45:39.636,43.9,39.874,135.032,78.0,669.1,
16.4.2025,21:45:40.151,43.3,39.291,139.589,79.0,629.1,
16.4.2025,21:45:40.649,41.5,37.573,133.087,79.0,628.5,
16.4.2025,21:45:41.151,41.8,37.263,133.628,79.0,631.6,
16.4.2025,21:45:41.637,42.9,38.324,135.156,74.0,689.5,
16.4.2025,21:45:42.148,45.2,40.673,141.779,76.0,656.5,
16.4.2025,21:45:42.650,44.1,39.370,134.538,76.0,683.2,
16.4.2025,21:45:43.151,45.6,41.064,140.460,76.0,698.6,
16.4.2025,21:45:43.650,44.7,40.168,138.949,76.0,692.1,
16.4.2025,21:45:44.138,41.9,37.595,133.306,78.0,629.3,
16.4.2025,21:45:44.638,42.5,38.284,131.597,79.0,628.2,
16.4.2025,21:45:45.136,41.7,37.912,132.386,79.0,632.7,
16.4.2025,21:45:45.636,41.8,37.652,132.438,79.0,630.4,
16.4.2025,21:45:46.139,46.9,42.344,139.921,76.0,703.1,
16.4.2025,21:45:46.650,41.7,37.440,134.540,79.0,635.0,
16.4.2025,21:45:47.138,42.6,38.254,134.399,79.0,629.0,
16.4.2025,21:45:47.636,42.0,37.364,133.474,80.0,627.4,
16.4.2025,21:45:48.140,46.1,39.646,125.137,77.0,604.5,
16.4.2025,21:45:48.642,41.8,37.670,131.027,79.0,625.9,
16.4.2025,21:45:49.143,41.5,36.835,132.981,78.0,631.5,
16.4.2025,21:45:49.644,41.5,36.628,132.076,78.0,628.2,
16.4.2025,21:45:50.148,42.5,38.315,133.404,79.0,629.3,
16.4.2025,21:45:50.649,41.8,37.722,132.699,79.0,632.2,
16.4.2025,21:45:51.149,41.5,36.462,132.974,79.0,633.0,
16.4.2025,21:45:51.650,43.1,38.527,133.178,78.0,639.4,
16.4.2025,21:45:52.149,42.2,37.435,132.470,79.0,626.8,
16.4.2025,21:45:52.652,42.5,37.895,132.549,78.0,634.2,
16.4.2025,21:45:53.137,42.1,37.087,133.559,79.0,635.8,
16.4.2025,21:45:53.642,43.9,39.176,137.444,76.0,692.2,
16.4.2025,21:45:54.143,41.7,36.000,134.617,78.0,635.3,
16.4.2025,21:45:54.646,43.7,38.410,133.632,77.0,665.9,
16.4.2025,21:45:55.146,45.0,40.226,138.240,77.0,636.3,
16.4.2025,21:45:55.648,42.2,37.407,133.672,79.0,629.8,
16.4.2025,21:45:56.142,41.7,36.684,133.249,79.0,626.2,
16.4.2025,21:45:56.639,41.6,36.531,132.913,78.0,630.0,
16.4.2025,21:45:57.144,43.4,38.377,136.535,77.0,688.3,
16.4.2025,21:45:57.644,45.7,40.419,132.712,79.0,632.1,
16.4.2025,21:45:58.143,42.3,37.482,132.609,79.0,628.2,
16.4.2025,21:45:58.645,42.3,37.411,133.549,78.0,630.8,
16.4.2025,21:45:59.146,42.6,37.495,133.113,78.0,633.4,
16.4.2025,21:45:59.642,42.8,37.958,132.663,78.0,628.8,
16.4.2025,21:46:0.143,42.4,37.116,133.386,79.0,632.8,
16.4.2025,21:46:0.645,44.7,40.020,133.711,78.0,634.3,
16.4.2025,21:46:1.140,43.0,40.020,134.662,78.0,634.3,
16.4.2025,21:46:1.638,45.8,37.528,140.133,77.0,687.8,
16.4.2025,21:46:2.139,46.1,41.034,142.616,76.0,695.5,
16.4.2025,21:46:2.636,44.3,38.716,140.064,77.0,640.2,
16.4.2025,21:46:3.151,42.3,36.895,132.734,79.0,626.3,
16.4.2025,21:46:3.638,42.3,36.895,135.321,78.0,626.3,
16.4.2025,21:46:4.136,42.6,37.720,135.321,78.0,627.9,
16.4.2025,21:46:4.641,44.0,38.734,135.959,78.0,684.3,
16.4.2025,21:46:5.147,42.6,37.002,135.535,77.0,645.1,
16.4.2025,21:46:5.648,41.9,37.014,133.376,79.0,627.6,
16.4.2025,21:46:6.146,42.4,36.882,135.714,78.0,632.4,
16.4.2025,21:46:6.646,42.8,37.592,134.253,78.0,624.6,
16.4.2025,21:46:7.142,47.4,40.258,125.015,77.0,627.8,
16.4.2025,21:46:7.646,41.6,36.392,132.238,79.0,626.6,
16.4.2025,21:46:8.149,41.4,36.403,132.866,79.0,626.3,
16.4.2025,21:46:8.636,42.4,36.951,134.190,79.0,630.9,
16.4.2025,21:46:9.142,42.5,37.272,136.647,78.0,627.2,
16.4.2025,21:46:9.641,42.2,36.965,133.887,78.0,626.0,
16.4.2025,21:46:10.139,43.7,39.099,134.095,79.0,627.4,
16.4.2025,21:46:10.643,44.5,38.712,139.815,76.0,699.5,
16.4.2025,21:46:11.147,43.0,37.814,137.190,78.0,627.4,
16.4.2025,21:46:11.646,41.8,36.029,133.734,79.0,622.7,
16.4.2025,21:46:12.145,41.8,36.560,133.969,79.0,634.7,
16.4.2025,21:46:12.644,43.6,38.195,137.327,76.0,681.6,
16.4.2025,21:46:13.142,46.9,41.075,143.494,76.0,696.2,
16.4.2025,21:46:13.641,46.4,41.290,143.670,77.0,700.1,
16.4.2025,21:46:14.141,45.4,40.182,139.325,78.0,635.2,
16.4.2025,21:46:14.644,42.9,38.515,133.741,78.0,631.5,
16.4.2025,21:46:15.144,43.4,37.879,134.666,78.0,623.3,
16.4.2025,21:46:15.644,42.3,38.038,133.944,80.0,635.7,
16.4.2025,21:46:16.140,42.7,37.666,134.000,79.0,629.3,
16.4.2025,21:46:16.641,43.6,38.267,133.285,78.0,628.6,
16.4.2025,21:46:17.142,45.7,40.159,138.760,77.0,653.9,
16.4.2025,21:46:17.638,44.0,39.248,134.915,78.0,630.9,
16.4.2025,21:46:18.139,43.8,38.034,135.085,78.0,641.4,
16.4.2025,21:46:18.638,47.1,41.896,140.697,76.0,703.4,
16.4.2025,21:46:19.141,46.1,41.350,139.920,77.0,665.7,
16.4.2025,21:46:19.639,44.9,40.524,136.348,79.0,628.8,
16.4.2025,21:46:20.142,45.6,40.424,138.196,78.0,637.6,
16.4.2025,21:46:20.644,44.9,39.373,133.956,78.0,629.7,
16.4.2025,21:46:21.147,44.5,38.778,135.037,78.0,630.9,
16.4.2025,21:46:21.649,46.4,41.151,137.510,76.0,694.9,
16.4.2025,21:46:22.138,46.6,41.145,140.718,77.0,686.6,
16.4.2025,21:46:22.642,48.1,42.948,143.877,76.0,665.9,
16.4.2025,21:46:23.142,44.3,39.736,136.198,78.0,669.0,
16.4.2025,21:46:23.638,47.3,42.161,143.660,76.0,699.7,
16.4.2025,21:46:24.141,47.4,42.204,143.039,76.0,694.3,
16.4.2025,21:46:24.643,46.7,41.414,136.874,79.0,633.6,
16.4.2025,21:46:25.146,44.1,39.394,134.080,79.0,627.8,
16.4.2025,21:46:25.649,43.7,38.669,133.661,79.0,631.8,
16.4.2025,21:46:26.150,47.2,41.409,142.106,76.0,699.4,
16.4.2025,21:46:26.637,44.7,39.455,135.027,79.0,626.9,
16.4.2025,21:46:27.139,48.9,41.737,125.905,78.0,608.0,
16.4.2025,21:46:27.638,44.3,39.083,132.272,79.0,627.8,
16.4.2025,21:46:28.142,45.9,40.842,136.506,78.0,696.7,
16.4.2025,21:46:28.643,46.7,41.877,139.125,79.0,637.8,
16.4.2025,21:46:29.150,44.9,40.400,133.226,79.0,631.0,
16.4.2025,21:46:29.646,45.1,39.947,136.313,76.0,691.2,
16.4.2025,21:46:30.147,47.7,42.067,141.125,76.0,696.9,
16.4.2025,21:46:30.650,44.3,39.179,137.047,77.0,678.2,
16.4.2025,21:46:31.150,42.1,36.340,133.203,79.0,624.5,
16.4.2025,21:46:31.653,41.8,36.871,132.756,79.0,632.5,
16.4.2025,21:46:32.173,42.8,36.861,132.935,79.0,628.2,
16.4.2025,21:46:32.674,42.2,36.468,132.996,78.0,630.9,
16.4.2025,21:46:33.177,46.7,39.269,125.791,78.0,616.3,
16.4.2025,21:46:33.683,43.1,37.984,131.197,79.0,631.8,
16.4.2025,21:46:34.183,42.0,36.926,132.392,79.0,626.9,
16.4.2025,21:46:34.683,41.6,36.248,132.903,79.0,629.3,
16.4.2025,21:46:35.186,42.0,36.577,132.783,79.0,628.8,
16.4.2025,21:46:35.704,41.4,36.289,133.280,79.0,628.5,
16.4.2025,21:46:36.208,45.5,39.309,139.726,76.0,677.7,
16.4.2025,21:46:36.706,43.3,38.782,133.250,79.0,634.1,
16.4.2025,21:46:37.204,41.7,36.676,133.210,79.0,628.0,
16.4.2025,21:46:37.703,41.6,36.090,133.284,79.0,627.1,
16.4.2025,21:46:38.204,42.1,36.422,132.761,79.0,636.4,
16.4.2025,21:46:38.701,41.2,35.543,133.358,79.0,625.7,
16.4.2025,21:46:39.200,42.1,36.609,133.108,78.0,623.2,
16.4.2025,21:46:39.702,43.0,36.927,134.232,78.0,639.3,
16.4.2025,21:46:40.206,41.4,36.266,132.440,79.0,625.5,
16.4.2025,21:46:40.705,44.2,39.396,139.311,76.0,692.3,
16.4.2025,21:46:41.202,42.2,36.368,134.671,79.0,628.5,
16.4.2025,21:46:41.720,41.8,36.600,133.528,78.0,629.1,
16.4.2025,21:46:42.229,44.4,38.919,136.801,78.0,682.3,
16.4.2025,21:46:42.730,43.4,38.549,135.251,78.0,636.0,
16.4.2025,21:46:43.244,42.2,37.051,133.576,79.0,633.7,
16.4.2025,21:46:43.739,41.5,35.813,133.502,79.0,630.8,
16.4.2025,21:46:44.242,42.0,36.815,133.350,79.0,630.7,
16.4.2025,21:46:44.741,41.6,36.526,133.788,79.0,630.8,
16.4.2025,21:46:45.245,41.5,36.032,133.556,78.0,629.3,
16.4.2025,21:46:45.743,42.3,37.033,133.461,79.0,630.6,
16.4.2025,21:46:46.244,41.7,36.336,133.813,79.0,628.9,
16.4.2025,21:46:46.730,41.9,36.684,134.947,79.0,631.6,
16.4.2025,21:46:47.235,41.9,35.652,133.007,79.0,631.9,
16.4.2025,21:46:47.735,41.4,35.658,133.488,79.0,627.0,
16.4.2025,21:46:48.238,42.3,35.783,134.704,78.0,631.6,
16.4.2025,21:46:48.740,42.9,35.783,134.665,78.0,631.6,
16.4.2025,21:46:49.245,45.4,37.268,134.665,79.0,628.0,
16.4.2025,21:46:49.743,43.6,39.636,140.107,77.0,632.9,
16.4.2025,21:46:50.243,43.6,37.838,133.934,79.0,630.5,
16.4.2025,21:46:50.740,43.8,37.791,135.830,76.0,690.4,
16.4.2025,21:46:51.242,46.1,40.141,137.863,77.0,625.6,
16.4.2025,21:46:51.740,44.0,38.147,135.772,78.0,681.1,
16.4.2025,21:46:52.245,46.9,41.093,141.691,77.0,643.3,
16.4.2025,21:46:52.745,43.1,37.943,133.426,79.0,625.0,
16.4.2025,21:46:53.243,43.5,37.952,132.611,79.0,630.2,
16.4.2025,21:46:53.733,43.4,37.134,133.584,79.0,633.1,
16.4.2025,21:46:54.238,44.3,39.233,134.064,79.0,632.1,
16.4.2025,21:46:54.743,42.9,36.989,133.758,78.0,633.9,
16.4.2025,21:46:55.245,44.2,39.152,134.111,79.0,629.2,
16.4.2025,21:46:55.744,43.4,37.450,134.577,75.0,670.6,
16.4.2025,21:46:56.243,43.7,37.889,135.718,80.0,632.2,
16.4.2025,21:46:56.742,43.6,37.573,133.778,78.0,629.8,
16.4.2025,21:46:57.243,42.8,37.127,134.979,79.0,628.3,
16.4.2025,21:46:57.730,43.4,37.694,133.567,78.0,630.1,
16.4.2025,21:46:58.233,44.1,38.365,134.076,78.0,626.2,
16.4.2025,21:46:58.734,42.9,37.684,134.553,80.0,628.5,
16.4.2025,21:46:59.234,43.6,37.945,136.701,78.0,659.5,
16.4.2025,21:46:59.730,43.1,37.300,134.179,78.0,626.5,
16.4.2025,21:47:0.233,41.3,34.932,134.128,78.0,626.1,
16.4.2025,21:47:0.735,43.5,36.471,138.207,78.0,669.7,
16.4.2025,21:47:1.237,43.7,38.749,137.432,77.0,680.8,
16.4.2025,21:47:1.740,45.4,39.360,144.387,76.0,701.5,
16.4.2025,21:47:2.241,44.6,38.826,140.720,77.0,647.1,
16.4.2025,21:47:2.742,41.6,36.094,135.068,78.0,625.2,
16.4.2025,21:47:3.243,44.3,37.859,141.021,78.0,673.6,
16.4.2025,21:47:3.744,41.8,35.440,134.458,79.0,627.7,
16.4.2025,21:47:4.244,42.7,37.831,135.271,79.0,631.3,
16.4.2025,21:47:4.744,41.6,36.040,134.871,79.0,630.4,
16.4.2025,21:47:5.241,41.8,36.169,134.611,76.0,628.2,
16.4.2025,21:47:5.730,47.6,39.599,125.626,79.0,625.6,
16.4.2025,21:47:6.233,41.5,36.075,133.635,78.0,629.5,
16.4.2025,21:47:6.734,41.8,36.114,133.951,79.0,626.3,
16.4.2025,21:47:7.234,42.6,37.182,135.827,78.0,627.0,
16.4.2025,21:47:7.738,44.4,38.407,139.793,75.0,684.1,
16.4.2025,21:47:8.241,42.2,36.645,135.123,78.0,627.5,
16.4.2025,21:47:8.743,41.8,35.755,133.840,78.0,628.3,
16.4.2025,21:47:9.241,41.2,35.823,134.072,79.0,624.7,
16.4.2025,21:47:9.745,41.5,36.109,133.482,79.0,629.2,
16.4.2025,21:47:10.248,41.9,36.676,133.620,79.0,626.4,
16.4.2025,21:47:10.750,42.8,37.252,136.817,80.0,643.0,
16.4.2025,21:47:11.247,41.5,35.635,134.249,79.0,632.2,
16.4.2025,21:47:11.748,44.4,38.864,140.268,76.0,694.4,
16.4.2025,21:47:12.248,42.5,36.616,133.938,79.0,632.0,
16.4.2025,21:47:12.752,41.7,35.613,133.828,79.0,627.6,
16.4.2025,21:47:13.250,43.1,37.279,134.460,79.0,633.0,
16.4.2025,21:47:13.756,41.4,35.866,133.436,79.0,626.1,
16.4.2025,21:47:14.256,41.5,36.095,132.661,79.0,628.8,
16.4.2025,21:47:14.755,41.5,36.117,133.406,78.0,626.6,
16.4.2025,21:47:15.253,45.1,39.129,140.620,76.0,696.2,
16.4.2025,21:47:15.755,42.7,36.781,133.540,79.0,633.8,
16.4.2025,21:47:16.257,42.2,36.863,132.729,79.0,626.8,
16.4.2025,21:47:16.758,41.2,35.702,132.601,79.0,628.8,
16.4.2025,21:47:17.252,41.5,35.720,132.218,79.0,624.9,
16.4.2025,21:47:17.752,41.7,36.130,133.737,79.0,626.5,
16.4.2025,21:47:18.252,41.5,36.008,132.420,79.0,624.2,
16.4.2025,21:47:18.757,42.1,36.285,136.019,77.0,659.4,
16.4.2025,21:47:19.251,43.1,38.048,134.422,79.0,636.0,
16.4.2025,21:47:19.751,41.3,35.253,132.415,79.0,628.0,
16.4.2025,21:47:20.253,44.0,38.290,139.612,76.0,690.7,
16.4.2025,21:47:20.754,42.3,36.377,134.278,79.0,627.6,
16.4.2025,21:47:21.255,41.4,35.695,133.409,79.0,628.2,
16.4.2025,21:47:21.749,41.6,35.694,133.616,79.0,630.3,
16.4.2025,21:47:22.248,43.4,37.631,135.746,78.0,646.3,
16.4.2025,21:47:22.750,43.5,38.202,138.205,77.0,678.0,
16.4.2025,21:47:23.249,45.6,39.851,143.020,75.0,695.8,
16.4.2025,21:47:23.747,43.5,37.578,136.423,78.0,631.5,
16.4.2025,21:47:24.248,41.6,35.101,133.461,79.0,629.2,
16.4.2025,21:47:24.748,41.7,36.108,133.233,79.0,629.2,
16.4.2025,21:47:25.246,42.6,37.287,133.568,79.0,630.4,
16.4.2025,21:47:25.761,42.1,36.294,135.239,78.0,636.8,
16.4.2025,21:47:26.291,42.0,36.753,132.895,78.0,640.3,
16.4.2025,21:47:26.804,41.7,35.899,133.396,79.0,629.6,
16.4.2025,21:47:27.304,41.7,35.575,133.110,79.0,628.5,
16.4.2025,21:47:27.801,41.5,35.603,132.916,79.0,629.0,
