Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
14.4.2025,0:29:8.897,131.378,77.0,624.7,40.423,44.8,
14.4.2025,0:29:9.395,131.774,77.0,620.8,42.211,46.7,
14.4.2025,0:29:9.894,131.693,77.0,621.0,40.497,44.5,
14.4.2025,0:29:10.396,132.035,77.0,615.7,39.838,44.5,
14.4.2025,0:29:10.896,132.041,77.0,621.3,42.947,47.0,
14.4.2025,0:29:11.397,130.910,77.0,616.6,39.081,43.5,
14.4.2025,0:29:11.895,131.870,77.0,616.0,39.131,43.7,
14.4.2025,0:29:12.392,131.513,77.0,622.4,39.986,43.9,
14.4.2025,0:29:12.893,132.997,77.0,621.7,39.467,43.9,
14.4.2025,0:29:13.390,132.753,77.0,624.6,39.673,43.8,
14.4.2025,0:29:13.902,131.059,77.0,619.9,39.219,43.7,
14.4.2025,0:29:14.398,132.904,77.0,621.0,39.558,43.6,
14.4.2025,0:29:14.898,133.229,77.0,624.3,39.251,43.6,
14.4.2025,0:29:15.400,133.925,77.0,623.2,39.194,43.6,
14.4.2025,0:29:15.896,132.246,77.0,619.8,39.347,43.7,
14.4.2025,0:29:16.398,130.673,77.0,614.4,39.128,43.6,
14.4.2025,0:29:16.900,131.211,77.0,625.9,39.839,44.0,
14.4.2025,0:29:17.395,132.346,78.0,619.5,39.965,43.8,
14.4.2025,0:29:17.894,132.359,77.0,620.7,39.495,43.4,
14.4.2025,0:29:18.393,131.932,77.0,617.8,39.696,43.7,
14.4.2025,0:29:18.891,132.192,77.0,617.6,39.287,43.5,
14.4.2025,0:29:19.390,131.624,78.0,615.4,39.002,43.7,
14.4.2025,0:29:19.890,132.229,78.0,618.0,40.148,43.9,
14.4.2025,0:29:20.389,131.529,77.0,616.7,39.638,44.1,
14.4.2025,0:29:20.888,131.952,77.0,618.0,39.498,43.5,
14.4.2025,0:29:21.416,131.665,77.0,619.3,39.493,43.6,
14.4.2025,0:29:21.905,131.582,78.0,616.6,39.797,43.8,
14.4.2025,0:29:22.416,131.502,77.0,616.4,39.580,43.2,
14.4.2025,0:29:22.915,131.834,77.0,618.6,40.123,43.8,
14.4.2025,0:29:23.416,131.318,78.0,619.7,40.026,43.9,
14.4.2025,0:29:23.912,131.091,77.0,619.3,40.026,43.9,
14.4.2025,0:29:24.409,131.992,77.0,624.2,41.507,45.2,
14.4.2025,0:29:24.910,131.053,77.0,618.9,40.312,44.1,
14.4.2025,0:29:25.406,132.000,77.0,623.4,40.260,43.7,
14.4.2025,0:29:25.905,131.151,77.0,617.6,38.863,43.7,
14.4.2025,0:29:26.418,131.008,77.0,623.3,40.072,43.9,
14.4.2025,0:29:26.915,131.724,77.0,621.6,40.751,44.0,
14.4.2025,0:29:27.415,131.979,77.0,625.4,40.415,44.3,
14.4.2025,0:29:27.914,127.706,73.0,623.5,43.148,47.6,
14.4.2025,0:29:28.428,128.355,77.0,623.5,43.148,47.6,
14.4.2025,0:29:28.910,131.487,79.0,608.3,55.932,70.2,
14.4.2025,0:29:29.409,132.096,77.0,621.3,60.803,77.7,
14.4.2025,0:29:29.909,132.267,77.0,618.2,45.710,49.2,
14.4.2025,0:29:30.410,131.221,78.0,622.8,42.009,46.2,
14.4.2025,0:29:30.908,125.546,74.0,622.0,41.083,45.0,
14.4.2025,0:29:31.410,124.336,77.0,602.5,42.862,47.7,
14.4.2025,0:29:31.910,130.691,79.0,618.4,40.505,46.1,
14.4.2025,0:29:32.408,131.747,77.0,616.4,65.045,78.0,
14.4.2025,0:29:32.918,131.708,77.0,620.5,44.277,48.6,
14.4.2025,0:29:33.403,130.933,77.0,618.8,40.821,45.0,
14.4.2025,0:29:33.904,130.823,77.0,620.2,40.746,43.7,
14.4.2025,0:29:34.418,131.283,77.0,623.5,40.820,44.7,
14.4.2025,0:29:34.915,131.083,77.0,621.1,41.370,45.7,
14.4.2025,0:29:35.416,131.420,78.0,619.3,39.988,44.0,
14.4.2025,0:29:35.916,132.122,77.0,626.7,39.687,44.5,
14.4.2025,0:29:36.419,131.234,77.0,624.6,42.569,46.4,
14.4.2025,0:29:36.913,131.234,77.0,620.8,43.910,51.0,
14.4.2025,0:29:37.415,131.279,77.0,620.1,39.969,43.9,
14.4.2025,0:29:37.913,131.486,77.0,625.4,43.008,49.7,
14.4.2025,0:29:38.415,131.834,81.0,621.6,39.973,44.0,
14.4.2025,0:29:38.915,131.727,78.0,623.3,39.864,44.3,
14.4.2025,0:29:39.413,131.812,77.0,624.5,39.551,43.8,
14.4.2025,0:29:39.915,131.599,77.0,625.7,40.086,44.5,
14.4.2025,0:29:40.413,131.763,77.0,629.1,39.803,44.3,
14.4.2025,0:29:40.918,131.009,77.0,620.8,40.165,44.0,
14.4.2025,0:29:41.418,131.855,77.0,622.0,40.037,44.6,
14.4.2025,0:29:41.910,131.897,77.0,622.8,39.969,44.3,
14.4.2025,0:29:42.416,131.293,78.0,620.0,39.240,43.4,
14.4.2025,0:29:42.913,131.816,78.0,619.3,40.278,45.3,
14.4.2025,0:29:43.417,131.713,77.0,620.6,39.516,43.6,
14.4.2025,0:29:43.914,131.781,77.0,621.0,39.322,44.3,
14.4.2025,0:29:44.414,130.783,78.0,623.7,39.072,43.5,
14.4.2025,0:29:44.917,132.163,78.0,619.0,39.783,43.9,
