Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:55:1.599,45.403,19.0,213.8,46.243,40.8,
13.4.2025,22:55:2.104,45.335,20.0,211.2,48.035,41.7,
13.4.2025,22:55:2.591,44.954,19.0,209.8,46.654,40.8,
13.4.2025,22:55:3.095,44.710,19.0,212.1,47.892,41.6,
13.4.2025,22:55:3.597,45.008,19.0,214.3,47.140,41.1,
13.4.2025,22:55:4.098,45.283,20.0,213.8,47.472,41.3,
13.4.2025,22:55:4.598,45.073,19.0,212.7,47.113,41.1,
13.4.2025,22:55:5.099,44.959,20.0,214.7,47.294,40.9,
13.4.2025,22:55:5.599,45.014,19.0,212.3,46.635,41.4,
13.4.2025,22:55:6.100,44.938,20.0,211.3,47.226,41.0,
13.4.2025,22:55:6.603,45.226,19.0,212.6,47.843,41.7,
13.4.2025,22:55:7.104,44.668,19.0,210.1,47.340,41.2,
13.4.2025,22:55:7.604,44.703,19.0,211.1,47.047,41.0,
13.4.2025,22:55:8.091,44.844,19.0,211.4,47.485,41.6,
13.4.2025,22:55:8.594,45.058,19.0,210.4,47.127,40.8,
13.4.2025,22:55:9.095,44.911,19.0,211.5,47.633,41.1,
13.4.2025,22:55:9.594,45.257,19.0,205.8,47.029,41.9,
13.4.2025,22:55:10.093,44.595,20.0,208.5,46.297,41.0,
13.4.2025,22:55:10.607,44.742,17.0,205.2,50.734,48.3,
13.4.2025,22:55:11.105,44.945,20.0,203.5,48.502,43.7,
13.4.2025,22:55:11.591,44.950,19.0,207.0,47.812,42.6,
13.4.2025,22:55:12.106,44.546,20.0,212.8,47.351,41.0,
13.4.2025,22:55:12.607,44.590,19.0,207.3,47.170,41.5,
13.4.2025,22:55:13.105,44.810,20.0,209.3,46.192,41.0,
13.4.2025,22:55:13.619,45.070,19.0,211.3,47.195,41.2,
13.4.2025,22:55:14.106,44.596,20.0,207.7,47.052,41.6,
13.4.2025,22:55:14.635,45.175,19.0,209.9,47.219,41.7,
13.4.2025,22:55:15.131,45.201,19.0,211.2,47.266,41.1,
13.4.2025,22:55:15.635,44.889,18.0,210.8,47.948,41.0,
13.4.2025,22:55:16.138,44.756,19.0,211.5,46.973,41.1,
13.4.2025,22:55:16.624,45.266,19.0,210.1,47.024,40.7,
13.4.2025,22:55:17.121,45.295,20.0,210.8,48.037,41.4,
13.4.2025,22:55:17.635,44.758,37.0,210.6,46.907,40.9,
13.4.2025,22:55:18.135,44.834,19.0,213.2,47.513,41.6,
13.4.2025,22:55:18.633,44.834,19.0,213.2,47.200,41.0,
13.4.2025,22:55:19.132,44.937,19.0,212.6,48.072,41.3,
13.4.2025,22:55:19.632,45.111,20.0,213.7,47.996,41.3,
13.4.2025,22:55:20.133,44.862,19.0,210.3,48.275,41.8,
13.4.2025,22:55:20.635,44.630,20.0,211.3,47.386,41.1,
13.4.2025,22:55:21.131,45.375,20.0,208.5,47.532,41.4,
13.4.2025,22:55:21.633,45.347,18.0,211.3,47.478,41.2,
13.4.2025,22:55:22.131,45.277,19.0,211.3,47.185,41.4,
13.4.2025,22:55:22.632,44.673,17.0,210.9,46.881,41.4,
13.4.2025,22:55:23.135,45.130,19.0,210.0,46.860,41.0,
13.4.2025,22:55:23.623,45.095,18.0,211.0,47.302,40.9,
13.4.2025,22:55:24.121,45.373,19.0,210.2,47.022,41.0,
13.4.2025,22:55:24.620,44.973,21.0,211.1,47.584,41.2,
13.4.2025,22:55:25.122,44.982,19.0,210.1,46.748,41.2,
13.4.2025,22:55:25.622,44.841,20.0,210.1,46.748,41.2,
13.4.2025,22:55:26.123,44.484,19.0,212.4,47.028,41.1,
13.4.2025,22:55:26.627,45.147,19.0,209.1,46.487,41.2,
13.4.2025,22:55:27.130,44.733,20.0,210.5,46.115,40.7,
13.4.2025,22:55:27.629,44.643,20.0,211.7,47.416,41.4,
13.4.2025,22:55:28.133,45.094,19.0,213.2,47.951,41.6,
13.4.2025,22:55:28.630,45.135,20.0,215.2,46.844,41.2,
13.4.2025,22:55:29.128,44.964,20.0,215.2,47.470,41.6,
13.4.2025,22:55:29.625,45.032,19.0,206.9,50.071,45.0,
13.4.2025,22:55:30.121,44.843,20.0,213.9,47.505,41.4,
13.4.2025,22:55:30.637,45.289,18.0,214.3,47.554,40.9,
13.4.2025,22:55:31.138,44.739,20.0,212.6,47.104,41.1,
13.4.2025,22:55:31.637,44.906,19.0,213.9,46.703,40.7,
13.4.2025,22:55:32.149,44.553,20.0,213.9,47.356,41.1,
13.4.2025,22:55:32.648,45.012,19.0,212.0,47.274,40.9,
13.4.2025,22:55:33.146,44.901,20.0,211.9,47.754,41.4,
13.4.2025,22:55:33.642,44.815,20.0,214.0,47.410,41.0,
13.4.2025,22:55:34.144,45.010,20.0,213.8,47.962,41.2,
13.4.2025,22:55:34.643,44.931,19.0,212.6,47.676,41.3,
13.4.2025,22:55:35.142,45.009,19.0,213.4,47.891,41.3,
13.4.2025,22:55:35.641,44.829,19.0,214.4,47.234,41.0,
13.4.2025,22:55:36.143,45.146,20.0,213.7,47.279,41.2,
13.4.2025,22:55:36.646,44.764,20.0,214.1,47.175,41.1,
13.4.2025,22:55:37.145,45.060,19.0,215.3,47.910,41.4,
13.4.2025,22:55:37.644,44.984,19.0,213.4,47.353,40.9,
13.4.2025,22:55:38.143,45.172,19.0,210.4,46.399,40.8,
13.4.2025,22:55:38.643,45.096,19.0,212.4,47.620,40.8,
13.4.2025,22:55:39.146,44.841,18.0,213.1,47.864,41.2,
13.4.2025,22:55:39.645,45.179,19.0,213.3,47.688,41.1,
13.4.2025,22:55:40.143,44.660,20.0,210.7,48.939,42.8,
13.4.2025,22:55:40.641,44.786,19.0,211.8,46.465,40.9,
13.4.2025,22:55:41.143,44.812,19.0,211.2,46.964,41.0,
13.4.2025,22:55:41.645,45.003,19.0,210.8,47.405,41.3,
13.4.2025,22:55:42.144,45.096,20.0,212.8,45.983,40.9,
13.4.2025,22:55:42.647,44.609,19.0,213.1,47.387,41.7,
13.4.2025,22:55:43.146,45.104,19.0,214.0,47.224,41.3,
13.4.2025,22:55:43.653,44.971,20.0,215.4,47.868,41.3,
13.4.2025,22:55:44.156,45.188,19.0,210.7,49.453,43.2,
13.4.2025,22:55:44.658,44.900,19.0,209.8,48.194,41.9,
13.4.2025,22:55:45.155,45.007,20.0,210.1,46.822,41.2,
