Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:49:21.695,46.573,39.0,1340.9,55.023,49.5,
13.4.2025,22:49:22.207,46.625,39.0,1352.6,53.943,48.9,
13.4.2025,22:49:22.711,46.603,39.0,1342.0,54.300,49.4,
13.4.2025,22:49:23.209,46.611,39.0,1321.6,54.422,49.4,
13.4.2025,22:49:23.709,46.573,39.0,1333.9,54.565,49.3,
13.4.2025,22:49:24.212,46.507,39.0,1353.0,55.423,50.6,
13.4.2025,22:49:24.703,46.552,39.0,1354.3,54.206,48.4,
13.4.2025,22:49:25.206,46.514,38.0,1330.6,54.961,49.0,
13.4.2025,22:49:25.712,46.496,37.0,1342.5,53.741,48.5,
13.4.2025,22:49:26.213,46.526,39.0,1335.8,54.292,48.0,
13.4.2025,22:49:26.704,46.468,39.0,1335.4,54.329,48.7,
13.4.2025,22:49:27.203,46.406,37.0,1317.5,53.598,48.3,
13.4.2025,22:49:27.705,46.549,38.0,1315.3,54.340,49.0,
13.4.2025,22:49:28.206,46.533,39.0,1338.9,53.922,48.9,
13.4.2025,22:49:28.712,46.521,39.0,1263.7,53.238,47.8,
13.4.2025,22:49:29.202,46.578,38.0,1355.9,54.180,48.9,
13.4.2025,22:49:29.715,46.543,39.0,1351.8,54.027,49.1,
13.4.2025,22:49:30.220,46.649,39.0,1350.3,55.059,49.2,
13.4.2025,22:49:30.723,46.627,39.0,1366.3,54.244,48.7,
13.4.2025,22:49:31.222,46.611,39.0,1344.8,54.869,49.0,
13.4.2025,22:49:31.726,46.473,38.0,1352.7,54.831,48.4,
13.4.2025,22:49:32.231,46.574,46.0,1340.8,55.392,50.2,
13.4.2025,22:49:32.734,46.468,38.0,1333.9,54.926,50.1,
13.4.2025,22:49:33.238,46.589,38.0,1339.5,55.038,48.8,
13.4.2025,22:49:33.739,46.493,38.0,1327.7,56.151,50.2,
13.4.2025,22:49:34.245,46.560,40.0,1342.9,54.944,48.3,
13.4.2025,22:49:34.753,46.396,38.0,1331.5,54.563,49.2,
13.4.2025,22:49:35.257,46.574,38.0,1357.1,55.117,50.0,
13.4.2025,22:49:35.746,46.473,38.0,1310.6,54.279,48.7,
13.4.2025,22:49:36.262,46.378,38.0,1361.1,54.257,49.1,
13.4.2025,22:49:36.750,45.751,37.0,1068.9,68.663,77.5,
13.4.2025,22:49:37.255,46.591,39.0,1350.8,57.616,53.2,
13.4.2025,22:49:37.761,46.554,39.0,1352.2,55.477,50.4,
13.4.2025,22:49:38.263,46.583,39.0,1309.1,54.598,49.0,
13.4.2025,22:49:38.786,46.482,39.0,1315.2,54.753,48.9,
13.4.2025,22:49:39.305,46.502,38.0,1331.2,55.882,50.4,
13.4.2025,22:49:39.793,46.460,39.0,1332.1,54.749,49.1,
13.4.2025,22:49:40.299,46.512,38.0,1343.3,54.775,49.1,
13.4.2025,22:49:40.806,46.477,39.0,1354.0,56.392,50.8,
13.4.2025,22:49:41.294,46.405,38.0,1327.4,54.430,48.7,
13.4.2025,22:49:41.801,46.068,37.0,1259.0,56.001,52.1,
13.4.2025,22:49:42.304,45.899,39.0,1251.6,57.531,55.0,
13.4.2025,22:49:42.808,46.360,38.0,1350.7,67.763,72.2,
13.4.2025,22:49:43.294,46.325,38.0,1300.6,55.000,49.8,
13.4.2025,22:49:43.799,46.460,39.0,1354.6,55.898,50.1,
13.4.2025,22:49:44.306,46.444,38.0,1337.9,54.059,48.3,
