Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,23:17:20.971,45.427,19.0,76.0,46.831,45.6,
13.4.2025,23:17:21.470,45.760,18.0,75.9,47.412,46.7,
13.4.2025,23:17:21.973,45.790,20.0,75.4,47.290,46.0,
13.4.2025,23:17:22.473,44.914,17.0,75.2,46.434,45.9,
13.4.2025,23:17:22.977,44.886,18.0,75.2,46.429,45.7,
13.4.2025,23:17:23.477,45.664,18.0,75.1,46.743,46.0,
13.4.2025,23:17:23.977,45.401,18.0,75.3,47.007,46.5,
13.4.2025,23:17:24.480,44.441,16.0,75.6,45.727,46.1,
13.4.2025,23:17:24.966,44.674,19.0,75.1,45.187,45.7,
13.4.2025,23:17:25.465,45.153,17.0,75.3,46.361,45.9,
13.4.2025,23:17:25.980,45.376,18.0,75.6,46.998,46.0,
13.4.2025,23:17:26.467,45.525,16.0,75.2,46.020,45.6,
13.4.2025,23:17:26.967,45.896,17.0,75.4,47.159,45.7,
13.4.2025,23:17:27.467,44.427,17.0,75.4,46.784,45.9,
13.4.2025,23:17:27.970,45.189,18.0,75.3,46.427,45.4,
13.4.2025,23:17:28.474,45.481,16.0,75.1,46.756,45.6,
13.4.2025,23:17:28.973,44.727,15.0,75.0,45.673,45.7,
13.4.2025,23:17:29.473,45.155,17.0,74.8,47.123,45.7,
13.4.2025,23:17:29.976,45.082,18.0,75.2,47.215,45.9,
13.4.2025,23:17:30.475,44.463,16.0,75.3,47.369,46.5,
13.4.2025,23:17:30.973,46.237,16.0,75.4,47.447,46.4,
13.4.2025,23:17:31.475,45.200,16.0,75.2,47.389,46.1,
13.4.2025,23:17:31.975,45.296,17.0,75.5,47.252,46.6,
13.4.2025,23:17:32.475,45.393,16.0,75.5,48.945,49.8,
13.4.2025,23:17:32.979,44.577,16.0,71.0,64.726,80.9,
13.4.2025,23:17:33.479,45.839,17.0,72.6,48.690,47.1,
13.4.2025,23:17:33.982,45.704,15.0,73.8,47.508,47.1,
13.4.2025,23:17:34.470,44.879,16.0,74.0,54.326,51.5,
13.4.2025,23:17:34.973,44.707,17.0,73.9,47.605,47.6,
13.4.2025,23:17:35.470,44.992,17.0,74.7,47.818,46.3,
13.4.2025,23:17:35.975,45.535,16.0,74.8,47.330,45.5,
13.4.2025,23:17:36.474,45.458,17.0,75.0,46.935,45.7,
13.4.2025,23:17:36.973,45.376,17.0,75.5,47.062,45.9,
13.4.2025,23:17:37.472,45.550,16.0,75.4,47.066,46.3,
13.4.2025,23:17:37.977,45.438,17.0,75.4,46.925,46.5,
13.4.2025,23:17:38.479,44.995,16.0,75.1,47.749,48.4,
13.4.2025,23:17:38.967,45.464,17.0,74.6,48.152,48.6,
13.4.2025,23:17:39.469,45.629,16.0,74.9,48.395,46.8,
13.4.2025,23:17:39.973,45.978,17.0,75.4,47.534,46.1,
13.4.2025,23:17:40.473,45.668,17.0,75.4,47.136,46.3,
13.4.2025,23:17:40.977,45.474,17.0,75.5,47.461,46.0,
13.4.2025,23:17:41.465,45.456,16.0,75.6,47.433,46.2,
13.4.2025,23:17:41.967,45.277,16.0,75.4,47.065,46.0,
13.4.2025,23:17:42.467,45.124,16.0,75.6,47.836,46.4,
13.4.2025,23:17:42.972,46.076,17.0,75.8,47.744,47.5,
13.4.2025,23:17:43.476,44.956,15.0,75.5,46.936,45.9,
13.4.2025,23:17:43.980,44.986,17.0,75.7,47.565,46.4,
13.4.2025,23:17:44.465,44.890,16.0,75.4,46.705,46.0,
13.4.2025,23:17:44.974,45.654,17.0,75.5,46.308,45.9,
13.4.2025,23:17:45.469,45.208,17.0,75.8,47.559,46.4,
13.4.2025,23:17:45.970,45.156,16.0,75.7,46.213,46.0,
13.4.2025,23:17:46.469,45.398,16.0,75.6,45.985,45.9,
13.4.2025,23:17:46.977,45.492,16.0,75.1,47.477,45.9,
13.4.2025,23:17:47.477,45.959,16.0,75.3,46.983,45.9,
13.4.2025,23:17:47.979,44.950,16.0,75.6,46.951,46.0,
13.4.2025,23:17:48.467,45.176,15.0,75.7,46.670,46.4,
13.4.2025,23:17:48.969,45.267,17.0,75.8,47.111,46.3,
13.4.2025,23:17:49.470,45.842,16.0,75.6,46.426,45.7,
13.4.2025,23:17:49.967,45.658,16.0,75.5,46.447,46.1,
13.4.2025,23:17:50.469,45.794,17.0,75.4,48.634,47.6,
13.4.2025,23:17:50.971,45.353,17.0,75.2,46.588,46.0,
13.4.2025,23:17:51.472,45.353,17.0,75.4,46.622,46.1,
13.4.2025,23:17:51.971,46.055,17.0,75.4,48.158,46.2,
13.4.2025,23:17:52.473,45.147,16.0,75.6,46.839,45.9,
13.4.2025,23:17:52.976,45.345,70.0,75.3,46.861,45.9,
